product_a,product_b,relationship_type,relationship_strength,cross_elasticity
P00265,P00264,substitute,strong,0.3101
P00237,P00246,substitute,moderate,0.176
P00246,P00237,substitute,weak,0.1274
P00232,P00257,substitute,moderate,0.1769
P00257,P00232,substitute,weak,0.1401
P00239,P00258,substitute,moderate,0.1615
P00258,P00239,substitute,weak,0.13
P00236,P00237,substitute,moderate,0.1644
P00237,P00236,substitute,moderate,0.1501
P00233,P00241,substitute,weak,0.1479
P00241,P00233,substitute,weak,0.0868
P00252,P00257,substitute,weak,0.101
P00257,P00252,substitute,weak,0.0901
P00261,P00265,complement,moderate,-0.2065
P00265,P00261,complement,moderate,-0.1821
P00238,P00255,complement,strong,-0.3213
P00255,P00238,complement,moderate,-0.2487
P00275,P00293,substitute,strong,0.4003
P00293,P00275,substitute,moderate,0.2601
P00288,P00291,substitute,strong,0.5649
P00291,P00288,substitute,strong,0.3793
P00273,P00288,substitute,strong,0.4561
P00288,P00273,substitute,strong,0.3976
P00278,P00291,substitute,weak,0.0651
P00291,P00278,substitute,weak,0.0463
P00288,P00297,substitute,weak,0.0602
P00297,P00288,substitute,weak,0.0409
P00285,P00298,substitute,weak,0.0981
P00298,P00285,substitute,weak,0.057
P00290,P00291,substitute,weak,0.0597
P00291,P00290,substitute,weak,0.0477
P00286,P00290,substitute,weak,0.1374
P00290,P00286,substitute,weak,0.1335
P00271,P00280,substitute,weak,0.0647
P00280,P00271,substitute,weak,0.0336
P00276,P00291,complement,moderate,-0.2825
P00291,P00276,complement,moderate,-0.223
P00279,P00285,complement,moderate,-0.2029
P00285,P00279,complement,moderate,-0.1872
P00220,P00235,complement,weak,-0.1468
P00235,P00220,complement,weak,-0.0956
P00097,P00013,complement,weak,-0.1137
P00013,P00097,complement,weak,-0.111
P00249,P00217,complement,weak,-0.0594
P00217,P00249,complement,weak,-0.0438
P00297,P00240,complement,weak,-0.0723
P00240,P00297,complement,weak,-0.0662
P00120,P00184,complement,weak,-0.0505
P00184,P00120,complement,weak,-0.0263
P00041,P00074,complement,weak,-0.1224
P00074,P00041,complement,weak,-0.1155
P00132,P00157,complement,weak,-0.0976
P00157,P00132,complement,weak,-0.0598
P00287,P00269,complement,weak,-0.0697
P00269,P00287,complement,weak,-0.0399
P00033,P00069,complement,weak,-0.0547
P00069,P00033,complement,weak,-0.0398
P00061,P00019,complement,weak,-0.1297
P00019,P00061,complement,weak,-0.0752
P00289,P00242,complement,weak,-0.1399
P00242,P00289,complement,weak,-0.1003
P00032,P00100,complement,weak,-0.0936
P00100,P00032,complement,weak,-0.0506
P00001,P00252,unrelated,none,0.0
P00152,P00265,unrelated,none,0.0
P00209,P00002,unrelated,none,0.0
P00191,P00008,unrelated,none,0.0
P00241,P00234,unrelated,none,0.0
P00021,P00061,unrelated,none,0.0
P00145,P00051,unrelated,none,0.0
P00283,P00274,unrelated,none,0.0
P00207,P00225,unrelated,none,0.0
P00264,P00204,unrelated,none,0.0
P00017,P00210,unrelated,none,0.0
P00156,P00056,unrelated,none,0.0
P00206,P00275,unrelated,none,0.0
P00081,P00255,unrelated,none,0.0
P00187,P00168,unrelated,none,0.0
P00060,P00016,unrelated,none,0.0
P00267,P00023,unrelated,none,0.0
P00275,P00189,unrelated,none,0.0
P00126,P00239,unrelated,none,0.0
P00073,P00107,unrelated,none,0.0
P00218,P00109,unrelated,none,0.0
P00173,P00221,unrelated,none,0.0
P00234,P00225,unrelated,none,0.0
P00209,P00146,unrelated,none,0.0
P00038,P00137,unrelated,none,0.0
P00088,P00023,unrelated,none,0.0
P00088,P00120,unrelated,none,0.0
P00286,P00042,unrelated,none,0.0
P00179,P00240,unrelated,none,0.0
P00066,P00009,unrelated,none,0.0
P00241,P00192,unrelated,none,0.0
P00246,P00299,unrelated,none,0.0
P00051,P00118,unrelated,none,0.0
P00140,P00183,unrelated,none,0.0
P00193,P00207,unrelated,none,0.0
P00023,P00074,unrelated,none,0.0
P00257,P00185,unrelated,none,0.0
P00117,P00259,unrelated,none,0.0
P00079,P00174,unrelated,none,0.0
P00124,P00088,unrelated,none,0.0
P00136,P00129,unrelated,none,0.0
P00182,P00292,unrelated,none,0.0
P00196,P00033,unrelated,none,0.0
P00227,P00107,unrelated,none,0.0
P00007,P00247,unrelated,none,0.0
P00034,P00109,unrelated,none,0.0
P00294,P00159,unrelated,none,0.0
P00185,P00091,unrelated,none,0.0
P00127,P00218,unrelated,none,0.0
P00027,P00100,unrelated,none,0.0
P00286,P00091,unrelated,none,0.0
P00034,P00237,unrelated,none,0.0
P00116,P00296,unrelated,none,0.0
P00284,P00258,unrelated,none,0.0
P00089,P00179,unrelated,none,0.0
P00198,P00007,unrelated,none,0.0
P00212,P00128,unrelated,none,0.0
P00258,P00159,unrelated,none,0.0
P00110,P00152,unrelated,none,0.0
P00043,P00076,unrelated,none,0.0
P00004,P00136,unrelated,none,0.0
P00270,P00228,unrelated,none,0.0
P00247,P00204,unrelated,none,0.0
P00133,P00174,unrelated,none,0.0
P00060,P00277,unrelated,none,0.0
P00003,P00179,unrelated,none,0.0
P00257,P00109,unrelated,none,0.0
P00007,P00244,unrelated,none,0.0
P00075,P00003,unrelated,none,0.0
P00248,P00274,unrelated,none,0.0
P00178,P00148,unrelated,none,0.0
P00255,P00106,unrelated,none,0.0
P00245,P00239,unrelated,none,0.0
P00237,P00093,unrelated,none,0.0
P00153,P00291,unrelated,none,0.0
P00045,P00078,unrelated,none,0.0
P00238,P00098,unrelated,none,0.0
P00206,P00294,unrelated,none,0.0
P00032,P00067,unrelated,none,0.0
P00136,P00076,unrelated,none,0.0
P00270,P00181,unrelated,none,0.0
P00281,P00298,unrelated,none,0.0
P00057,P00013,unrelated,none,0.0
P00082,P00044,unrelated,none,0.0
P00110,P00206,unrelated,none,0.0
P00062,P00198,unrelated,none,0.0
P00055,P00040,unrelated,none,0.0
P00160,P00198,unrelated,none,0.0
