customer_id,segment,region,loyalty_tier,acquisition_channel,customer_since
C0000094,Value,West,Bronze,Referral,2023-08-11
C0000095,Loyal,North,Silver,Campaign,2018-08-28
C0000096,Value,North,Bronze,Partner,2019-09-13
C0000097,Regular,North,Gold,Partner,2024-08-10
C0000098,Value,Central,Bronze,Referral,2016-04-21
C0000099,Loyal,East,Silver,Online,2016-11-12
C0000100,Loyal,North,Gold,Campaign,2022-10-09
C0000101,Premium,North,Gold,Campaign,2021-04-13
C0000102,Regular,East,Gold,Campaign,2020-05-31
C0000103,Value,North,Bronze,Referral,2018-04-11
C0000104,Regular,South,Bronze,Online,2022-10-17
C0000105,Regular,Central,Silver,Online,2024-10-30
C0000106,Regular,South,Silver,Campaign,2015-12-06
C0000107,Regular,North,Silver,Referral,2020-12-29
C0000108,Premium,West,Bronze,Partner,2019-07-22
C0000109,Loyal,North,Silver,Partner,2017-08-17
C0000110,Value,East,Silver,Online,2024-11-26
C0000111,Occasional,South,Silver,Store Walk-in,2019-02-18
C0000112,Regular,South,Silver,Online,2015-08-16
C0000113,Loyal,West,Silver,Partner,2018-10-06
C0000114,Value,East,Bronze,Store Walk-in,2024-09-17
C0000115,Regular,South,Silver,Online,2019-07-12
C0000116,Loyal,Central,Silver,Partner,2024-04-27
C0000117,Regular,South,Silver,Partner,2020-03-02
C0000118,Loyal,South,Platinum,Store Walk-in,2015-03-09
C0000119,Occasional,West,Gold,Store Walk-in,2025-12-13
C0000120,Regular,West,Silver,Online,2021-06-27
C0000121,Regular,North,Silver,Campaign,2017-11-18
C0000122,Regular,Central,Bronze,Referral,2015-07-14
C0000123,Premium,South,Gold,Store Walk-in,2020-12-30
C0000124,Occasional,South,Bronze,Store Walk-in,2022-04-12
C0000125,Value,West,Silver,Online,2019-02-23
C0000126,Occasional,South,Bronze,Referral,2021-05-22
C0000127,Loyal,South,Silver,Store Walk-in,2022-01-20
C0000128,Premium,Central,Gold,Store Walk-in,2016-04-17
C0000129,Regular,Central,Bronze,Referral,2019-02-08
C0000130,Value,East,Gold,Partner,2019-11-12
C0000131,Value,South,Bronze,Referral,2024-10-07
C0000132,Regular,North,Bronze,Referral,2015-01-27
C0000133,Premium,Central,Bronze,Store Walk-in,2018-08-21
C0000134,Loyal,Central,Platinum,Partner,2015-08-02
C0000135,Value,North,Bronze,Campaign,2017-04-11
C0000136,Occasional,East,Bronze,Store Walk-in,2019-04-01
C0000137,Premium,North,Platinum,Referral,2016-05-10
C0000138,Loyal,North,Bronze,Partner,2020-03-11
C0000139,Regular,East,Bronze,Online,2022-02-04
C0000140,Value,South,Bronze,Referral,2021-07-21
C0000141,Occasional,West,Bronze,Referral,2019-03-23
C0000142,Occasional,Central,Silver,Campaign,2015-12-28
C0000143,Loyal,North,Platinum,Online,2021-11-21
C0000144,Regular,Central,Silver,Store Walk-in,2024-01-17
C0000145,Premium,West,Silver,Campaign,2019-12-27
C0000146,Loyal,East,Silver,Online,2016-08-19
C0000147,Loyal,Central,Silver,Store Walk-in,2022-05-13
C0000148,Regular,West,Bronze,Store Walk-in,2015-03-10
C0000149,Occasional,South,Silver,Campaign,2019-01-10
C0000150,Occasional,South,Silver,Referral,2022-03-02
C0000151,Regular,South,Bronze,Referral,2023-01-25
C0000152,Regular,South,Bronze,Referral,2019-05-04
C0000153,Loyal,North,Platinum,Partner,2020-10-04
C0000154,Regular,South,Silver,Referral,2025-11-07
C0000155,Regular,South,Silver,Campaign,2015-04-30
C0000156,Regular,West,Silver,Campaign,2015-07-18
C0000157,Loyal,East,Bronze,Campaign,2017-09-30
C0000158,Value,South,Bronze,Campaign,2018-03-14
C0000159,Regular,North,Bronze,Online,2015-09-24
C0000160,Loyal,North,Silver,Campaign,2023-10-06
C0000161,Regular,West,Bronze,Online,2023-04-11
C0000162,Value,North,Gold,Online,2019-09-24
C0000163,Regular,North,Platinum,Campaign,2018-03-13
C0000164,Premium,West,Silver,Online,2018-10-30
C0000165,Value,East,Bronze,Store Walk-in,2023-02-13
C0000166,Regular,Central,Gold,Store Walk-in,2015-11-07
C0000167,Regular,West,Bronze,Store Walk-in,2021-07-25
C0000168,Value,South,Bronze,Online,2022-02-06
C0000169,Premium,West,Platinum,Campaign,2025-12-09
C0000170,Loyal,Central,Silver,Store Walk-in,2023-09-05
C0000171,Value,East,Bronze,Partner,2018-05-05
C0000172,Value,South,Bronze,Campaign,2025-01-30
C0000173,Regular,East,Gold,Store Walk-in,2017-08-26
C0000174,Regular,South,Bronze,Referral,2019-09-17
C0000175,Regular,South,Silver,Partner,2021-02-10
C0000176,Regular,South,Gold,Referral,2022-01-17
C0000177,Occasional,Central,Silver,Online,2016-04-22
C0000178,Regular,North,Bronze,Campaign,2017-06-14
C0000179,Regular,East,Gold,Online,2021-06-16
C0000180,Value,South,Bronze,Campaign,2024-01-26
C0000181,Regular,South,Bronze,Online,2025-01-14
C0000182,Premium,North,Silver,Store Walk-in,2018-02-23
C0000183,Regular,Central,Silver,Referral,2020-07-27
C0000184,Value,East,Bronze,Referral,2025-06-30
C0000185,Loyal,North,Gold,Online,2021-03-16
C0000186,Value,North,Silver,Partner,2022-06-13
C0000187,Occasional,South,Bronze,Online,2015-07-12
C0000188,Premium,North,Gold,Online,2020-10-15
C0000189,Regular,North,Bronze,Referral,2016-08-09
C0000190,Occasional,South,Bronze,Online,2019-10-16
C0000191,Premium,South,Gold,Referral,2019-02-09
C0000192,Regular,South,Silver,Campaign,2021-12-02
C0000193,Regular,South,Silver,Partner,2023-10-22
C0000194,Value,West,Bronze,Online,2017-05-07
C0000195,Regular,South,Bronze,Online,2018-07-29
C0000196,Regular,North,Bronze,Store Walk-in,2019-04-15
C0000197,Occasional,South,Bronze,Online,2018-06-26
C0000198,Premium,North,Platinum,Campaign,2016-12-31
C0000199,Regular,South,Gold,Campaign,2019-07-12
C0000200,Loyal,East,Silver,Partner,2022-09-07
C0000201,Value,South,Silver,Online,2020-11-07
C0000202,Occasional,North,Silver,Partner,2021-10-24
C0000203,Regular,Central,Platinum,Online,2015-06-02
C0000204,Loyal,Central,Platinum,Referral,2016-01-26
C0000205,Loyal,North,Gold,Partner,2019-04-14
C0000206,Premium,West,Gold,Referral,2015-11-27
C0000207,Loyal,South,Silver,Referral,2025-05-17
C0000208,Regular,Central,Bronze,Online,2023-02-21
C0000209,Loyal,South,Gold,Store Walk-in,2016-10-21
C0000210,Premium,Central,Gold,Referral,2016-02-11
C0000211,Premium,East,Gold,Partner,2017-12-04
C0000212,Loyal,North,Gold,Online,2023-08-18
C0000213,Occasional,East,Bronze,Campaign,2019-09-13
C0000214,Regular,North,Bronze,Online,2020-08-25
C0000215,Loyal,South,Silver,Partner,2019-11-09
C0000216,Regular,North,Bronze,Referral,2017-09-15
C0000217,Regular,Central,Gold,Referral,2019-07-02
C0000218,Loyal,Central,Gold,Referral,2016-02-06
C0000219,Regular,East,Bronze,Store Walk-in,2020-10-17
C0000220,Value,North,Bronze,Store Walk-in,2020-11-16
C0000221,Loyal,South,Platinum,Referral,2018-06-28
C0000222,Value,West,Bronze,Online,2020-06-10
C0000223,Regular,West,Bronze,Store Walk-in,2022-11-19
C0000224,Loyal,West,Gold,Referral,2018-03-19
C0000225,Premium,South,Gold,Campaign,2024-08-05
C0000226,Premium,East,Bronze,Online,2021-11-19
C0000227,Value,North,Bronze,Store Walk-in,2019-01-25
C0000228,Value,West,Bronze,Online,2020-07-06
C0000229,Regular,East,Silver,Online,2017-01-28
C0000230,Regular,Central,Gold,Partner,2021-04-20
C0000231,Loyal,West,Gold,Partner,2019-07-27
C0000232,Regular,West,Bronze,Online,2015-05-08
C0000233,Value,North,Bronze,Store Walk-in,2017-08-21
C0000234,Value,Central,Bronze,Store Walk-in,2018-08-15
C0000235,Value,North,Bronze,Campaign,2016-02-14
C0000236,Loyal,Central,Bronze,Campaign,2018-09-23
C0000237,Loyal,North,Bronze,Campaign,2015-10-08
C0000238,Regular,North,Silver,Store Walk-in,2018-03-27
C0000239,Loyal,East,Platinum,Partner,2015-01-04
C0000240,Value,West,Bronze,Store Walk-in,2020-10-30
C0000241,Loyal,South,Platinum,Referral,2021-03-24
C0000242,Premium,South,Silver,Campaign,2024-06-11
C0000243,Loyal,West,Silver,Campaign,2022-08-24
C0000244,Regular,West,Silver,Partner,2020-08-27
C0000245,Value,East,Silver,Campaign,2016-03-12
C0000246,Value,West,Bronze,Referral,2021-04-26
C0000247,Value,Central,Bronze,Store Walk-in,2019-06-29
C0000248,Regular,South,Platinum,Campaign,2022-09-16
C0000249,Regular,South,Gold,Online,2020-01-18
C0000250,Value,Central,Silver,Online,2022-07-17
C0000251,Regular,North,Bronze,Store Walk-in,2021-08-17
C0000252,Value,North,Silver,Campaign,2019-01-17
C0000253,Occasional,West,Bronze,Referral,2024-02-01
C0000254,Regular,West,Silver,Referral,2021-11-25
C0000255,Premium,Central,Silver,Campaign,2016-08-25
C0000256,Premium,South,Bronze,Campaign,2020-02-07
C0000257,Value,West,Bronze,Referral,2021-08-29
C0000258,Loyal,West,Platinum,Campaign,2019-10-19
C0000259,Loyal,East,Gold,Store Walk-in,2017-03-24
C0000260,Loyal,South,Platinum,Campaign,2021-04-27
C0000261,Regular,North,Bronze,Referral,2018-07-20
C0000262,Loyal,East,Gold,Store Walk-in,2018-02-16
C0000263,Premium,West,Gold,Store Walk-in,2017-11-30
C0000264,Regular,Central,Gold,Campaign,2017-05-02
C0000265,Loyal,North,Gold,Online,2022-01-03
C0000266,Regular,West,Bronze,Store Walk-in,2020-04-27
C0000267,Regular,North,Bronze,Campaign,2018-08-15
C0000268,Value,Central,Bronze,Campaign,2019-10-19
C0000269,Value,North,Bronze,Referral,2016-04-30
C0000270,Value,Central,Bronze,Partner,2016-11-06
C0000271,Regular,West,Bronze,Partner,2015-08-31
C0000272,Loyal,East,Platinum,Referral,2017-12-28
C0000273,Value,South,Bronze,Partner,2025-08-17
C0000274,Value,West,Bronze,Campaign,2024-09-03
C0000275,Regular,West,Silver,Partner,2018-09-25
C0000276,Regular,Central,Bronze,Partner,2015-01-10
C0000277,Value,South,Bronze,Campaign,2017-07-14
C0000278,Regular,South,Bronze,Partner,2017-10-09
C0000279,Regular,North,Silver,Online,2024-01-18
C0000280,Value,South,Silver,Online,2015-01-19
C0000281,Occasional,North,Silver,Partner,2017-02-03
C0000282,Premium,North,Silver,Campaign,2017-03-22
C0000283,Value,West,Bronze,Partner,2024-01-20
C0000284,Occasional,South,Bronze,Referral,2018-08-05
C0000285,Occasional,North,Silver,Partner,2019-09-21
C0000286,Premium,Central,Platinum,Online,2023-05-07
C0000287,Loyal,South,Gold,Campaign,2019-08-28
C0000288,Value,West,Silver,Campaign,2015-06-03
C0000289,Regular,North,Silver,Online,2018-10-01
C0000290,Regular,West,Gold,Partner,2021-10-15
C0000291,Value,Central,Gold,Partner,2015-07-19
C0000292,Regular,South,Bronze,Campaign,2024-08-26
C0000293,Loyal,North,Gold,Online,2018-07-27
C0000294,Loyal,East,Silver,Partner,2021-01-26
C0000295,Premium,North,Silver,Partner,2016-02-28
C0000296,Occasional,West,Bronze,Campaign,2024-01-26
C0000297,Premium,East,Silver,Partner,2016-12-19
C0000298,Value,Central,Bronze,Campaign,2021-06-01
C0000299,Value,Central,Silver,Online,2015-01-27
C0000300,Loyal,North,Platinum,Online,2022-05-20
C0000301,Premium,East,Platinum,Campaign,2021-11-27
C0000302,Premium,Central,Bronze,Campaign,2020-03-23
C0000303,Occasional,South,Gold,Store Walk-in,2017-12-15
C0000304,Regular,North,Gold,Online,2020-09-05
C0000305,Premium,North,Silver,Partner,2019-11-13
C0000306,Loyal,South,Gold,Campaign,2017-09-07
C0000307,Loyal,South,Platinum,Partner,2024-05-23
C0000308,Regular,West,Bronze,Referral,2021-12-20
C0000309,Loyal,North,Silver,Referral,2019-03-15
C0000310,Loyal,South,Silver,Store Walk-in,2022-11-06
C0000311,Regular,East,Bronze,Online,2023-08-22
C0000312,Occasional,Central,Bronze,Store Walk-in,2020-04-16
C0000313,Loyal,East,Gold,Online,2020-04-10
C0000314,Value,East,Bronze,Store Walk-in,2018-08-19
C0000315,Value,South,Bronze,Online,2019-09-17
C0000316,Loyal,Central,Silver,Store Walk-in,2024-06-07
C0000317,Regular,West,Silver,Campaign,2017-07-05
C0000318,Regular,East,Silver,Online,2025-03-24
C0000319,Regular,North,Silver,Store Walk-in,2018-10-23
C0000320,Premium,North,Silver,Campaign,2016-07-05
C0000321,Regular,Central,Gold,Referral,2024-05-29
C0000322,Value,South,Bronze,Campaign,2018-04-07
C0000323,Regular,West,Platinum,Partner,2017-04-05
C0000324,Regular,East,Gold,Partner,2017-03-17
C0000325,Value,North,Bronze,Partner,2020-07-18
C0000326,Regular,West,Bronze,Campaign,2024-11-19
C0000327,Regular,North,Gold,Online,2017-10-24
C0000328,Occasional,North,Bronze,Store Walk-in,2021-11-17
C0000329,Regular,South,Bronze,Referral,2022-08-25
C0000330,Regular,West,Silver,Referral,2015-11-24
C0000331,Regular,Central,Silver,Campaign,2022-04-03
C0000332,Value,East,Bronze,Online,2017-02-06
C0000333,Premium,Central,Silver,Campaign,2016-06-14
C0000334,Value,North,Bronze,Online,2020-02-22
C0000335,Loyal,North,Silver,Online,2024-08-02
C0000336,Regular,North,Bronze,Partner,2018-09-12
C0000337,Regular,West,Silver,Online,2016-04-22
C0000338,Premium,South,Gold,Store Walk-in,2017-06-22
C0000339,Loyal,South,Gold,Store Walk-in,2021-12-13
C0000340,Value,Central,Bronze,Store Walk-in,2018-01-06
C0000341,Regular,West,Silver,Campaign,2021-02-21
C0000342,Regular,South,Bronze,Store Walk-in,2020-03-17
C0000343,Regular,West,Bronze,Campaign,2018-02-17
C0000344,Loyal,South,Bronze,Referral,2017-06-16
C0000345,Regular,East,Bronze,Store Walk-in,2024-11-22
C0000346,Loyal,North,Silver,Partner,2017-08-30
C0000347,Value,Central,Silver,Store Walk-in,2020-04-23
C0000348,Loyal,Central,Silver,Partner,2015-09-13
C0000349,Regular,Central,Bronze,Referral,2017-04-08
C0000350,Value,West,Silver,Store Walk-in,2015-05-20
C0000351,Value,North,Bronze,Store Walk-in,2015-06-19
C0000352,Value,South,Bronze,Online,2016-06-12
C0000353,Loyal,South,Platinum,Partner,2015-11-15
C0000354,Loyal,West,Platinum,Online,2021-05-13
C0000355,Loyal,North,Silver,Campaign,2024-04-03
C0000356,Regular,South,Gold,Online,2020-03-22
C0000357,Premium,East,Platinum,Store Walk-in,2025-11-12
C0000358,Regular,North,Bronze,Referral,2019-08-14
C0000359,Value,Central,Bronze,Referral,2025-09-11
C0000360,Premium,North,Platinum,Campaign,2022-04-15
C0000361,Loyal,East,Silver,Partner,2023-12-04
C0000362,Premium,East,Gold,Store Walk-in,2020-08-07
C0000363,Regular,South,Bronze,Referral,2015-08-25
C0000364,Loyal,North,Gold,Online,2020-03-14
C0000365,Regular,Central,Silver,Store Walk-in,2019-07-24
C0000366,Loyal,South,Gold,Online,2022-08-07
C0000367,Loyal,South,Platinum,Partner,2020-05-16
C0000368,Premium,West,Gold,Partner,2021-01-25
C0000369,Loyal,East,Gold,Referral,2022-02-21
C0000370,Regular,South,Silver,Partner,2020-04-16
C0000371,Premium,Central,Silver,Store Walk-in,2019-08-19
C0000372,Loyal,West,Bronze,Online,2024-09-16
C0000373,Value,Central,Bronze,Partner,2021-08-21
C0000374,Value,Central,Bronze,Referral,2021-02-26
C0000375,Loyal,South,Silver,Referral,2017-04-08
C0000376,Value,North,Bronze,Partner,2016-10-20
C0000377,Value,South,Bronze,Referral,2023-11-05
C0000378,Occasional,South,Silver,Referral,2018-09-14
C0000379,Value,East,Silver,Store Walk-in,2015-03-04
C0000380,Premium,East,Gold,Partner,2022-11-25
C0000381,Loyal,East,Silver,Partner,2023-10-17
C0000382,Loyal,South,Gold,Campaign,2022-01-26
C0000383,Loyal,West,Platinum,Referral,2015-01-17
C0000384,Regular,Central,Bronze,Online,2025-10-30
C0000385,Value,East,Bronze,Referral,2025-01-22
C0000386,Loyal,North,Platinum,Campaign,2018-01-10
C0000387,Loyal,North,Gold,Campaign,2025-05-08
C0000388,Value,East,Bronze,Store Walk-in,2022-07-25
C0000389,Loyal,West,Silver,Store Walk-in,2024-09-03
C0000390,Regular,South,Bronze,Store Walk-in,2019-10-08
C0000391,Loyal,Central,Gold,Store Walk-in,2020-02-08
C0000392,Loyal,East,Gold,Store Walk-in,2024-06-25
C0000393,Regular,South,Silver,Online,2017-07-16
C0000394,Loyal,North,Platinum,Store Walk-in,2023-08-17
C0000395,Occasional,West,Silver,Campaign,2022-01-22
C0000396,Value,North,Bronze,Campaign,2017-12-13
C0000397,Occasional,West,Silver,Partner,2025-06-09
C0000398,Value,Central,Bronze,Referral,2017-11-27
C0000399,Regular,North,Silver,Campaign,2025-10-23
C0000400,Premium,East,Silver,Partner,2023-01-09
C0000401,Occasional,North,Bronze,Partner,2021-02-15
C0000402,Premium,South,Silver,Online,2025-08-23
C0000403,Value,South,Bronze,Campaign,2019-11-26
C0000404,Regular,South,Gold,Online,2016-08-18
C0000405,Value,South,Bronze,Store Walk-in,2021-05-05
C0000406,Value,Central,Bronze,Partner,2020-02-29
C0000407,Regular,West,Gold,Partner,2025-05-02
C0000408,Regular,Central,Gold,Partner,2017-05-03
C0000409,Loyal,North,Silver,Referral,2020-10-25
C0000410,Value,North,Gold,Store Walk-in,2017-12-27
C0000411,Loyal,East,Bronze,Campaign,2021-09-03
C0000412,Premium,South,Platinum,Campaign,2018-06-27
C0000413,Regular,South,Bronze,Store Walk-in,2020-07-30
C0000414,Value,Central,Bronze,Store Walk-in,2017-06-24
C0000415,Regular,East,Silver,Partner,2020-03-29
C0000416,Loyal,South,Gold,Campaign,2019-01-04
C0000417,Value,South,Bronze,Online,2017-10-15
C0000418,Regular,North,Silver,Referral,2018-08-17
C0000419,Regular,North,Gold,Referral,2016-06-13
C0000420,Value,East,Bronze,Partner,2019-08-26
C0000421,Loyal,East,Platinum,Partner,2025-12-05
C0000422,Value,East,Bronze,Referral,2020-01-11
C0000423,Loyal,South,Silver,Partner,2019-06-26
C0000424,Regular,West,Bronze,Campaign,2021-05-28
C0000425,Value,South,Bronze,Referral,2022-04-15
C0000426,Occasional,East,Silver,Referral,2022-08-27
C0000427,Regular,West,Silver,Campaign,2018-01-06
C0000428,Loyal,West,Gold,Campaign,2020-09-29
C0000429,Loyal,West,Gold,Store Walk-in,2015-02-14
C0000430,Premium,East,Silver,Referral,2016-03-31
C0000431,Value,Central,Bronze,Online,2015-01-14
C0000432,Premium,Central,Silver,Partner,2020-09-30
C0000433,Value,Central,Bronze,Online,2015-02-22
C0000434,Regular,West,Silver,Partner,2021-10-31
C0000435,Occasional,South,Bronze,Online,2015-12-26
C0000436,Value,North,Bronze,Store Walk-in,2017-04-02
C0000437,Loyal,East,Platinum,Store Walk-in,2025-01-31
C0000438,Value,South,Bronze,Online,2019-01-22
C0000439,Occasional,East,Bronze,Partner,2022-09-06
C0000440,Regular,North,Bronze,Store Walk-in,2019-04-16
C0000441,Regular,West,Bronze,Campaign,2022-08-05
C0000442,Loyal,North,Gold,Campaign,2025-03-11
C0000443,Loyal,South,Bronze,Campaign,2021-08-28
C0000444,Loyal,Central,Silver,Store Walk-in,2015-05-20
C0000445,Value,East,Silver,Online,2020-08-15
C0000446,Value,East,Silver,Partner,2022-05-22
C0000447,Loyal,Central,Silver,Partner,2020-04-06
C0000448,Occasional,North,Bronze,Campaign,2015-09-11
C0000449,Regular,North,Silver,Campaign,2015-11-07
C0000450,Regular,West,Bronze,Referral,2019-11-05
C0000451,Occasional,North,Bronze,Referral,2021-11-05
C0000452,Regular,West,Silver,Partner,2015-10-20
C0000453,Loyal,Central,Gold,Online,2020-05-17
C0000454,Value,West,Bronze,Campaign,2018-09-28
C0000455,Regular,North,Bronze,Online,2018-08-20
C0000456,Loyal,South,Gold,Referral,2015-10-26
C0000457,Regular,West,Silver,Store Walk-in,2019-02-11
C0000458,Loyal,East,Gold,Online,2024-02-28
C0000459,Regular,North,Platinum,Partner,2016-12-11
C0000460,Occasional,South,Bronze,Partner,2025-09-09
C0000461,Loyal,West,Platinum,Referral,2023-01-16
C0000462,Regular,East,Bronze,Store Walk-in,2017-09-22
C0000463,Loyal,South,Gold,Online,2020-03-01
C0000464,Value,West,Silver,Campaign,2019-02-25
C0000465,Regular,South,Platinum,Online,2025-10-19
C0000466,Value,West,Bronze,Referral,2019-10-27
C0000467,Regular,North,Bronze,Referral,2016-03-25
C0000468,Value,West,Bronze,Referral,2015-02-24
C0000469,Occasional,West,Bronze,Campaign,2021-02-22
C0000470,Regular,West,Bronze,Online,2016-09-24
C0000471,Value,Central,Bronze,Store Walk-in,2025-08-15
C0000472,Regular,South,Bronze,Online,2022-06-30
C0000473,Value,North,Bronze,Store Walk-in,2019-09-17
C0000474,Regular,North,Gold,Referral,2025-09-22
C0000475,Loyal,North,Gold,Referral,2019-01-09
C0000476,Value,West,Bronze,Online,2025-05-13
C0000477,Value,East,Bronze,Online,2016-09-17
C0000478,Regular,West,Bronze,Referral,2019-05-04
C0000479,Value,Central,Silver,Partner,2017-05-04
C0000480,Regular,North,Bronze,Online,2023-06-04
C0000481,Value,South,Bronze,Partner,2020-12-25
C0000482,Loyal,Central,Gold,Referral,2018-11-19
C0000483,Premium,Central,Gold,Store Walk-in,2021-10-17
C0000484,Value,Central,Gold,Referral,2019-06-06
C0000485,Loyal,South,Silver,Store Walk-in,2022-06-24
C0000486,Loyal,South,Silver,Campaign,2015-01-25
C0000487,Loyal,South,Platinum,Campaign,2020-11-09
C0000488,Occasional,West,Bronze,Store Walk-in,2020-09-09
C0000489,Regular,South,Gold,Partner,2024-03-12
C0000490,Loyal,East,Silver,Online,2016-06-17
C0000491,Loyal,South,Bronze,Campaign,2023-11-01
C0000492,Regular,South,Bronze,Store Walk-in,2021-06-11
C0000493,Value,South,Bronze,Store Walk-in,2019-07-30
C0000494,Value,East,Bronze,Online,2023-09-15
C0000495,Value,North,Bronze,Partner,2022-02-20
C0000496,Regular,North,Bronze,Store Walk-in,2017-11-13
C0000497,Occasional,North,Bronze,Referral,2020-01-14
C0000498,Loyal,West,Silver,Store Walk-in,2017-10-30
C0000499,Premium,Central,Gold,Referral,2016-10-09
C0000500,Value,South,Bronze,Campaign,2024-11-14
C0000501,Loyal,West,Platinum,Store Walk-in,2023-09-12
C0000502,Regular,Central,Bronze,Online,2017-07-16
C0000503,Loyal,South,Gold,Campaign,2020-03-02
C0000504,Occasional,West,Bronze,Referral,2017-12-18
C0000505,Regular,West,Silver,Online,2015-12-09
C0000506,Regular,North,Bronze,Campaign,2021-10-23
