date,product_id,store_id,opening_inventory,received_units,sold_units,closing_inventory,stockout_flag,inventory_days
2023-01-21,P00001,S00001,266,0,64,202,False,3.16
2023-01-22,P00001,S00001,202,0,79,123,False,1.56
2023-01-23,P00001,S00001,123,0,50,73,False,1.46
2023-01-24,P00001,S00001,73,941,9,1005,False,111.67
2023-01-25,P00001,S00001,1005,0,25,980,False,39.2
2023-01-26,P00001,S00001,980,0,70,910,False,13.0
2023-01-27,P00001,S00001,910,0,55,855,False,15.55
2023-01-28,P00001,S00001,855,0,27,828,False,30.67
2023-01-29,P00001,S00001,828,0,21,807,False,38.43
2023-01-30,P00001,S00001,807,0,27,780,False,28.89
2023-01-31,P00001,S00001,780,0,10,770,False,77.0
2023-02-01,P00001,S00001,770,0,22,748,False,34.0
2023-02-02,P00001,S00001,748,0,33,715,False,21.67
2023-02-03,P00001,S00001,715,0,21,694,False,33.05
2023-02-04,P00001,S00001,694,0,112,582,False,5.2
2023-02-05,P00001,S00001,582,0,24,558,False,23.25
2023-02-06,P00001,S00001,558,0,22,536,False,24.36
2023-02-07,P00001,S00001,536,0,11,525,False,47.73
2023-02-08,P00001,S00001,525,0,49,476,False,9.71
2023-02-09,P00001,S00001,476,0,22,454,False,20.64
2023-02-10,P00001,S00001,454,0,20,434,False,21.7
2023-02-11,P00001,S00001,434,0,39,395,False,10.13
2023-02-12,P00001,S00001,395,0,21,374,False,17.81
2023-02-13,P00001,S00001,374,0,16,358,False,22.38
2023-02-14,P00001,S00001,358,0,47,311,False,6.62
2023-02-15,P00001,S00001,311,0,54,257,False,4.76
2023-02-16,P00001,S00001,257,0,24,233,False,9.71
2023-02-17,P00001,S00001,233,0,30,203,False,6.77
2023-02-18,P00001,S00001,203,0,142,61,False,0.43
2023-02-19,P00001,S00001,61,0,27,34,False,1.26
2023-02-20,P00001,S00001,34,0,34,0,True,0.0
2023-02-21,P00001,S00001,0,955,36,919,False,25.53
2023-02-22,P00001,S00001,919,0,67,852,False,12.72
2023-02-23,P00001,S00001,852,0,26,826,False,31.77
2023-02-24,P00001,S00001,826,0,40,786,False,19.65
2023-02-25,P00001,S00001,786,0,18,768,False,42.67
2023-02-26,P00001,S00001,768,0,74,694,False,9.38
2023-02-27,P00001,S00001,694,0,18,676,False,37.56
2023-02-28,P00001,S00001,676,0,27,649,False,24.04
2023-03-01,P00001,S00001,649,0,12,637,False,53.08
2023-03-02,P00001,S00001,637,0,70,567,False,8.1
2023-03-03,P00001,S00001,567,0,88,479,False,5.44
2023-03-04,P00001,S00001,479,0,79,400,False,5.06
2023-03-05,P00001,S00001,400,0,52,348,False,6.69
2023-03-06,P00001,S00001,348,0,67,281,False,4.19
2023-03-07,P00001,S00001,281,0,24,257,False,10.71
2023-03-08,P00001,S00001,257,0,113,144,False,1.27
2023-03-09,P00001,S00001,144,0,29,115,False,3.97
2023-03-10,P00001,S00001,115,0,109,6,False,0.06
2023-03-11,P00001,S00001,6,1095,60,1041,False,17.35
2023-03-12,P00001,S00001,1041,0,65,976,False,15.02
2023-03-13,P00001,S00001,976,0,77,899,False,11.68
2023-03-14,P00001,S00001,899,0,51,848,False,16.63
2023-03-15,P00001,S00001,848,0,16,832,False,52.0
2023-03-16,P00001,S00001,832,0,94,738,False,7.85
2023-03-17,P00001,S00001,738,0,92,646,False,7.02
2023-03-18,P00001,S00001,646,0,64,582,False,9.09
2023-03-19,P00001,S00001,582,0,24,558,False,23.25
2023-03-20,P00001,S00001,558,0,94,464,False,4.94
2023-03-21,P00001,S00001,464,0,54,410,False,7.59
2023-03-22,P00001,S00001,410,0,85,325,False,3.82
2023-03-23,P00001,S00001,325,0,18,307,False,17.06
2023-03-24,P00001,S00001,307,0,69,238,False,3.45
2023-03-25,P00001,S00001,238,0,70,168,False,2.4
2023-03-26,P00001,S00001,168,0,21,147,False,7.0
2023-03-27,P00001,S00001,147,1130,28,1249,False,44.61
2023-03-28,P00001,S00001,1249,0,30,1219,False,40.63
2023-03-29,P00001,S00001,1219,0,91,1128,False,12.4
2023-03-30,P00001,S00001,1128,0,38,1090,False,28.68
2023-03-31,P00001,S00001,1090,0,47,1043,False,22.19
2023-01-01,P00001,S00117,631,0,47,584,False,12.43
2023-01-02,P00001,S00117,584,0,85,499,False,5.87
2023-01-03,P00001,S00117,499,0,32,467,False,14.59
2023-01-04,P00001,S00117,467,0,150,317,False,2.11
2023-01-05,P00001,S00117,317,1343,207,1453,False,7.02
2023-01-06,P00001,S00117,1453,0,52,1401,False,26.94
2023-01-07,P00001,S00117,1401,0,176,1225,False,6.96
2023-01-08,P00001,S00117,1225,0,98,1127,False,11.5
2023-01-09,P00001,S00117,1127,0,124,1003,False,8.09
2023-01-10,P00001,S00117,1003,0,125,878,False,7.02
2023-01-11,P00001,S00117,878,0,35,843,False,24.09
2023-01-12,P00001,S00117,843,0,106,737,False,6.95
2023-01-13,P00001,S00117,737,0,41,696,False,16.98
2023-01-14,P00001,S00117,696,0,29,667,False,23.0
2023-01-15,P00001,S00117,667,0,77,590,False,7.66
2023-01-16,P00001,S00117,590,0,26,564,False,21.69
2023-01-17,P00001,S00117,564,0,67,497,False,7.42
2023-01-18,P00001,S00117,497,0,38,459,False,12.08
2023-01-19,P00001,S00117,459,0,12,447,False,37.25
2023-01-20,P00001,S00117,447,0,46,401,False,8.72
2023-01-21,P00001,S00117,401,1233,22,1612,False,73.27
2023-01-22,P00001,S00117,1612,0,57,1555,False,27.28
2023-01-23,P00001,S00117,1555,0,51,1504,False,29.49
2023-01-24,P00001,S00117,1504,0,20,1484,False,74.2
2023-01-25,P00001,S00117,1484,0,38,1446,False,38.05
2023-01-26,P00001,S00117,1446,0,39,1407,False,36.08
2023-01-27,P00001,S00117,1407,0,80,1327,False,16.59
2023-01-28,P00001,S00117,1327,0,26,1301,False,50.04
2023-01-29,P00001,S00117,1301,0,53,1248,False,23.55
2023-01-30,P00001,S00117,1248,0,24,1224,False,51.0
2023-01-31,P00001,S00117,1224,0,54,1170,False,21.67
2023-02-01,P00001,S00117,1170,0,91,1079,False,11.86
2023-02-02,P00001,S00117,1079,0,32,1047,False,32.72
2023-02-03,P00001,S00117,1047,0,47,1000,False,21.28
2023-02-04,P00001,S00117,1000,0,49,951,False,19.41
2023-02-05,P00001,S00117,951,0,66,885,False,13.41
2023-02-06,P00001,S00117,885,0,47,838,False,17.83
2023-02-07,P00001,S00117,838,0,24,814,False,33.92
2023-02-08,P00001,S00117,814,0,43,771,False,17.93
2023-02-09,P00001,S00117,771,0,92,679,False,7.38
2023-02-10,P00001,S00117,679,0,39,640,False,16.41
2023-02-11,P00001,S00117,640,0,43,597,False,13.88
2023-02-12,P00001,S00117,597,0,26,571,False,21.96
2023-02-13,P00001,S00117,571,0,45,526,False,11.69
2023-02-14,P00001,S00117,526,0,49,477,False,9.73
2023-02-15,P00001,S00117,477,0,33,444,False,13.45
2023-02-16,P00001,S00117,444,0,26,418,False,16.08
2023-02-17,P00001,S00117,418,0,63,355,False,5.63
2023-02-18,P00001,S00117,355,0,62,293,False,4.73
2023-02-19,P00001,S00117,293,0,28,265,False,9.46
2023-02-20,P00001,S00117,265,0,67,198,False,2.96
2023-02-21,P00001,S00117,198,0,76,122,False,1.61
2023-02-22,P00001,S00117,122,748,20,850,False,42.5
2023-02-23,P00001,S00117,850,0,38,812,False,21.37
2023-02-24,P00001,S00117,812,0,38,774,False,20.37
2023-02-25,P00001,S00117,774,0,51,723,False,14.18
2023-02-26,P00001,S00117,723,0,104,619,False,5.95
2023-02-27,P00001,S00117,619,0,94,525,False,5.59
2023-02-28,P00001,S00117,525,0,41,484,False,11.8
2023-03-01,P00001,S00117,484,0,76,408,False,5.37
2023-03-02,P00001,S00117,408,0,141,267,False,1.89
2023-03-03,P00001,S00117,267,0,67,200,False,2.99
2023-03-04,P00001,S00117,200,0,166,34,False,0.2
2023-03-05,P00001,S00117,34,0,34,0,True,0.0
2023-03-06,P00001,S00117,0,1152,27,1125,False,41.67
2023-03-07,P00001,S00117,1125,0,240,885,False,3.69
2023-03-08,P00001,S00117,885,0,18,867,False,48.17
2023-03-09,P00001,S00117,867,0,29,838,False,28.9
2023-03-10,P00001,S00117,838,0,17,821,False,48.29
2023-03-11,P00001,S00117,821,0,246,575,False,2.34
2023-03-12,P00001,S00117,575,0,33,542,False,16.42
2023-03-13,P00001,S00117,542,0,26,516,False,19.85
2023-03-14,P00001,S00117,516,0,28,488,False,17.43
2023-03-15,P00001,S00117,488,1378,34,1832,False,53.88
2023-03-16,P00001,S00117,1832,0,47,1785,False,37.98
2023-03-17,P00001,S00117,1785,0,100,1685,False,16.85
2023-03-18,P00001,S00117,1685,0,110,1575,False,14.32
2023-03-19,P00001,S00117,1575,0,106,1469,False,13.86
2023-03-20,P00001,S00117,1469,0,93,1376,False,14.8
2023-03-21,P00001,S00117,1376,0,70,1306,False,18.66
2023-03-22,P00001,S00117,1306,0,115,1191,False,10.36
2023-03-23,P00001,S00117,1191,0,226,965,False,4.27
2023-03-24,P00001,S00117,965,0,89,876,False,9.84
2023-03-25,P00001,S00117,876,0,193,683,False,3.54
2023-03-26,P00001,S00117,683,0,185,498,False,2.69
2023-03-27,P00001,S00117,498,0,60,438,False,7.3
2023-03-28,P00001,S00117,438,0,89,349,False,3.92
2023-03-29,P00001,S00117,349,1604,104,1849,False,17.78
2023-03-30,P00001,S00117,1849,0,84,1765,False,21.01
2023-03-31,P00001,S00117,1765,0,11,1754,False,159.45
2023-01-01,P00001,S00181,590,0,46,544,False,11.83
2023-01-02,P00001,S00181,544,0,30,514,False,17.13
2023-01-03,P00001,S00181,514,0,74,440,False,5.95
2023-01-04,P00001,S00181,440,0,35,405,False,11.57
2023-01-05,P00001,S00181,405,0,25,380,False,15.2
2023-01-06,P00001,S00181,380,0,43,337,False,7.84
2023-01-07,P00001,S00181,337,0,63,274,False,4.35
2023-01-08,P00001,S00181,274,0,40,234,False,5.85
2023-01-09,P00001,S00181,234,0,42,192,False,4.57
2023-01-10,P00001,S00181,192,0,81,111,False,1.37
2023-01-11,P00001,S00181,111,0,34,77,False,2.26
2023-01-12,P00001,S00181,77,630,74,633,False,8.55
2023-01-13,P00001,S00181,633,0,45,588,False,13.07
2023-01-14,P00001,S00181,588,0,84,504,False,6.0
2023-01-15,P00001,S00181,504,0,93,411,False,4.42
2023-01-16,P00001,S00181,411,0,30,381,False,12.7
2023-01-17,P00001,S00181,381,0,133,248,False,1.86
2023-01-18,P00001,S00181,248,0,47,201,False,4.28
2023-01-19,P00001,S00181,201,0,23,178,False,7.74
2023-01-20,P00001,S00181,178,0,23,155,False,6.74
2023-01-21,P00001,S00181,155,0,53,102,False,1.92
2023-01-22,P00001,S00181,102,929,59,972,False,16.47
2023-01-23,P00001,S00181,972,0,24,948,False,39.5
2023-01-24,P00001,S00181,948,0,30,918,False,30.6
2023-01-25,P00001,S00181,918,0,90,828,False,9.2
2023-01-26,P00001,S00181,828,0,106,722,False,6.81
2023-01-27,P00001,S00181,722,0,38,684,False,18.0
2023-01-28,P00001,S00181,684,0,23,661,False,28.74
2023-01-29,P00001,S00181,661,0,27,634,False,23.48
2023-01-30,P00001,S00181,634,0,71,563,False,7.93
2023-01-31,P00001,S00181,563,0,10,553,False,55.3
2023-02-01,P00001,S00181,553,0,44,509,False,11.57
2023-02-02,P00001,S00181,509,0,25,484,False,19.36
2023-02-03,P00001,S00181,484,0,65,419,False,6.45
2023-02-04,P00001,S00181,419,0,46,373,False,8.11
2023-02-05,P00001,S00181,373,0,81,292,False,3.6
2023-02-06,P00001,S00181,292,0,27,265,False,9.81
2023-02-07,P00001,S00181,265,0,49,216,False,4.41
2023-02-08,P00001,S00181,216,0,71,145,False,2.04
2023-02-09,P00001,S00181,145,0,28,117,False,4.18
2023-02-10,P00001,S00181,117,658,62,713,False,11.5
2023-02-11,P00001,S00181,713,0,93,620,False,6.67
2023-02-12,P00001,S00181,620,0,101,519,False,5.14
2023-02-13,P00001,S00181,519,0,57,462,False,8.11
2023-02-14,P00001,S00181,462,0,32,430,False,13.44
2023-02-15,P00001,S00181,430,0,100,330,False,3.3
2023-02-16,P00001,S00181,330,0,100,230,False,2.3
2023-02-17,P00001,S00181,230,0,82,148,False,1.8
2023-02-18,P00001,S00181,148,0,99,49,False,0.49
2023-02-19,P00001,S00181,49,0,49,0,True,0.0
2023-02-20,P00001,S00181,0,800,27,773,False,28.63
2023-02-21,P00001,S00181,773,0,127,646,False,5.09
2023-02-22,P00001,S00181,646,0,84,562,False,6.69
2023-02-23,P00001,S00181,562,0,71,491,False,6.92
2023-02-24,P00001,S00181,491,0,221,270,False,1.22
2023-02-25,P00001,S00181,270,0,112,158,False,1.41
2023-02-26,P00001,S00181,158,0,46,112,False,2.43
2023-02-27,P00001,S00181,112,0,101,11,False,0.11
2023-02-28,P00001,S00181,11,0,11,0,True,0.0
2023-03-01,P00001,S00181,0,1372,113,1259,False,11.14
2023-03-02,P00001,S00181,1259,0,227,1032,False,4.55
2023-03-03,P00001,S00181,1032,0,137,895,False,6.53
2023-03-04,P00001,S00181,895,0,219,676,False,3.09
2023-03-05,P00001,S00181,676,0,238,438,False,1.84
2023-03-06,P00001,S00181,438,0,218,220,False,1.01
2023-03-07,P00001,S00181,220,0,146,74,False,0.51
2023-03-08,P00001,S00181,74,0,74,0,True,0.0
2023-03-09,P00001,S00181,0,1542,123,1419,False,11.54
2023-03-10,P00001,S00181,1419,0,224,1195,False,5.33
2023-03-11,P00001,S00181,1195,0,83,1112,False,13.4
2023-03-12,P00001,S00181,1112,0,125,987,False,7.9
2023-03-13,P00001,S00181,987,0,109,878,False,8.06
2023-03-14,P00001,S00181,878,0,43,835,False,19.42
2023-03-15,P00001,S00181,835,0,58,777,False,13.4
2023-03-16,P00001,S00181,777,0,52,725,False,13.94
2023-03-17,P00001,S00181,725,0,100,625,False,6.25
2023-03-18,P00001,S00181,625,1606,116,2115,False,18.23
2023-03-19,P00001,S00181,2115,0,59,2056,False,34.85
2023-03-20,P00001,S00181,2056,0,49,2007,False,40.96
2023-03-21,P00001,S00181,2007,0,24,1983,False,82.62
2023-03-22,P00001,S00181,1983,0,104,1879,False,18.07
2023-03-23,P00001,S00181,1879,0,56,1823,False,32.55
2023-03-24,P00001,S00181,1823,0,90,1733,False,19.26
2023-03-25,P00001,S00181,1733,0,119,1614,False,13.56
2023-03-26,P00001,S00181,1614,0,45,1569,False,34.87
2023-03-27,P00001,S00181,1569,0,108,1461,False,13.53
2023-03-28,P00001,S00181,1461,0,67,1394,False,20.81
2023-03-29,P00001,S00181,1394,0,97,1297,False,13.37
2023-03-30,P00001,S00181,1297,0,18,1279,False,71.06
2023-03-31,P00001,S00181,1279,0,40,1239,False,30.98
2023-01-01,P00001,S00059,156,0,29,127,False,4.38
2023-01-02,P00001,S00059,127,0,20,107,False,5.35
2023-01-03,P00001,S00059,107,0,25,82,False,3.28
2023-01-04,P00001,S00059,82,0,34,48,False,1.41
2023-01-05,P00001,S00059,48,251,15,284,False,18.93
2023-01-06,P00001,S00059,284,0,29,255,False,8.79
2023-01-07,P00001,S00059,255,0,44,211,False,4.8
2023-01-08,P00001,S00059,211,0,15,196,False,13.07
2023-01-09,P00001,S00059,196,0,37,159,False,4.3
2023-01-10,P00001,S00059,159,0,38,121,False,3.18
2023-01-11,P00001,S00059,121,0,19,102,False,5.37
2023-01-12,P00001,S00059,102,0,42,60,False,1.43
2023-01-13,P00001,S00059,60,214,39,235,False,6.03
2023-01-14,P00001,S00059,235,0,17,218,False,12.82
2023-01-15,P00001,S00059,218,0,41,177,False,4.32
2023-01-16,P00001,S00059,177,0,7,170,False,24.29
2023-01-17,P00001,S00059,170,0,8,162,False,20.25
2023-01-18,P00001,S00059,162,0,3,159,False,53.0
2023-01-19,P00001,S00059,159,223,17,365,False,21.47
2023-01-20,P00001,S00059,365,0,10,355,False,35.5
2023-01-21,P00001,S00059,355,0,15,340,False,22.67
2023-01-22,P00001,S00059,340,0,9,331,False,36.78
2023-01-23,P00001,S00059,331,0,12,319,False,26.58
2023-01-24,P00001,S00059,319,0,6,313,False,52.17
2023-01-25,P00001,S00059,313,0,6,307,False,51.17
2023-01-26,P00001,S00059,307,0,12,295,False,24.58
2023-01-27,P00001,S00059,295,0,4,291,False,72.75
2023-01-28,P00001,S00059,291,0,3,288,False,96.0
2023-01-29,P00001,S00059,288,0,11,277,False,25.18
2023-01-30,P00001,S00059,277,0,11,266,False,24.18
2023-01-31,P00001,S00059,266,0,0,266,False,
2023-02-01,P00001,S00059,266,0,10,256,False,25.6
2023-02-02,P00001,S00059,256,0,8,248,False,31.0
2023-02-03,P00001,S00059,248,0,8,240,False,30.0
2023-02-04,P00001,S00059,240,0,7,233,False,33.29
2023-02-05,P00001,S00059,233,0,10,223,False,22.3
2023-02-06,P00001,S00059,223,0,3,220,False,73.33
2023-02-07,P00001,S00059,220,0,12,208,False,17.33
2023-02-08,P00001,S00059,208,0,18,190,False,10.56
2023-02-09,P00001,S00059,190,0,9,181,False,20.11
2023-02-10,P00001,S00059,181,0,14,167,False,11.93
2023-02-11,P00001,S00059,167,0,5,162,False,32.4
2023-02-12,P00001,S00059,162,0,15,147,False,9.8
2023-02-13,P00001,S00059,147,0,9,138,False,15.33
2023-02-14,P00001,S00059,138,0,16,122,False,7.62
2023-02-15,P00001,S00059,122,0,2,120,False,60.0
2023-02-16,P00001,S00059,120,0,2,118,False,59.0
2023-02-17,P00001,S00059,118,0,2,116,False,58.0
2023-02-18,P00001,S00059,116,0,27,89,False,3.3
2023-02-19,P00001,S00059,89,0,14,75,False,5.36
2023-02-20,P00001,S00059,75,0,1,74,False,74.0
2023-02-21,P00001,S00059,74,0,2,72,False,36.0
2023-02-22,P00001,S00059,72,0,7,65,False,9.29
2023-02-23,P00001,S00059,65,0,7,58,False,8.29
2023-02-24,P00001,S00059,58,0,25,33,False,1.32
2023-02-25,P00001,S00059,33,0,10,23,False,2.3
2023-02-26,P00001,S00059,23,0,13,10,False,0.77
2023-02-27,P00001,S00059,10,0,1,9,False,9.0
2023-02-28,P00001,S00059,9,102,13,98,False,7.54
2023-03-01,P00001,S00059,98,0,4,94,False,23.5
2023-03-02,P00001,S00059,94,0,10,84,False,8.4
2023-03-03,P00001,S00059,84,0,15,69,False,4.6
2023-03-04,P00001,S00059,69,0,38,31,False,0.82
2023-03-05,P00001,S00059,31,0,15,16,False,1.07
2023-03-06,P00001,S00059,16,0,10,6,False,0.6
2023-03-07,P00001,S00059,6,0,6,0,True,0.0
2023-03-08,P00001,S00059,0,137,18,119,False,6.61
2023-03-09,P00001,S00059,119,0,8,111,False,13.88
2023-03-10,P00001,S00059,111,0,5,106,False,21.2
2023-03-11,P00001,S00059,106,0,15,91,False,6.07
2023-03-12,P00001,S00059,91,0,26,65,False,2.5
2023-03-13,P00001,S00059,65,0,5,60,False,12.0
2023-03-14,P00001,S00059,60,0,16,44,False,2.75
2023-03-15,P00001,S00059,44,0,5,39,False,7.8
2023-03-16,P00001,S00059,39,115,5,149,False,29.8
2023-03-17,P00001,S00059,149,0,19,130,False,6.84
2023-03-18,P00001,S00059,130,0,17,113,False,6.65
2023-03-19,P00001,S00059,113,0,8,105,False,13.12
2023-03-20,P00001,S00059,105,0,11,94,False,8.55
2023-03-21,P00001,S00059,94,0,6,88,False,14.67
2023-03-22,P00001,S00059,88,0,8,80,False,10.0
2023-03-23,P00001,S00059,80,0,3,77,False,25.67
2023-03-24,P00001,S00059,77,0,8,69,False,8.62
2023-03-25,P00001,S00059,69,0,14,55,False,3.93
2023-03-26,P00001,S00059,55,0,7,48,False,6.86
2023-03-27,P00001,S00059,48,0,8,40,False,5.0
2023-03-28,P00001,S00059,40,0,15,25,False,1.67
2023-03-29,P00001,S00059,25,83,12,96,False,8.0
2023-03-30,P00001,S00059,96,0,10,86,False,8.6
2023-03-31,P00001,S00059,86,0,15,71,False,4.73
2023-01-01,P00001,S00180,468,0,16,452,False,28.25
2023-01-02,P00001,S00180,452,0,68,384,False,5.65
2023-01-03,P00001,S00180,384,0,26,358,False,13.77
2023-01-04,P00001,S00180,358,0,21,337,False,16.05
2023-01-05,P00001,S00180,337,0,11,326,False,29.64
2023-01-06,P00001,S00180,326,0,35,291,False,8.31
2023-01-07,P00001,S00180,291,0,60,231,False,3.85
2023-01-08,P00001,S00180,231,0,15,216,False,14.4
2023-01-09,P00001,S00180,216,0,41,175,False,4.27
2023-01-10,P00001,S00180,175,0,39,136,False,3.49
2023-01-11,P00001,S00180,136,0,38,98,False,2.58
2023-01-12,P00001,S00180,98,0,35,63,False,1.8
2023-01-13,P00001,S00180,63,242,31,274,False,8.84
2023-01-14,P00001,S00180,274,0,27,247,False,9.15
2023-01-15,P00001,S00180,247,0,40,207,False,5.18
2023-01-16,P00001,S00180,207,0,50,157,False,3.14
2023-01-17,P00001,S00180,157,0,27,130,False,4.81
2023-01-18,P00001,S00180,130,0,37,93,False,2.51
2023-01-19,P00001,S00180,93,39,25,107,False,4.28
2023-01-20,P00001,S00180,107,0,26,81,False,3.12
2023-01-21,P00001,S00180,81,0,33,48,False,1.45
