period,product_id,store_id,units,revenue,cost,gross_profit,promo_days,stockout_days,days,avg_selling_price
2023-01,P00003,S00027,922,35958.0,22653.54,13304.460000000001,0,0,31,39.0
2023-01,P00003,S00053,758,29865.2,18624.06,11241.14,0,0,31,39.4
2023-01,P00003,S00062,1502,55619.06,36904.14,18714.92,0,0,31,37.03
2023-01,P00003,S00067,428,16499.4,10515.96,5983.44,0,0,31,38.55
2023-01,P00003,S00071,735,29061.9,18058.95,11002.95,0,6,31,39.54
2023-01,P00003,S00072,824,31542.72,20245.68,11297.04,0,0,31,38.28
2023-01,P00003,S00077,1441,59210.69,35405.37,23805.32,0,0,31,41.09
2023-01,P00003,S00080,1248,46973.63,30663.36,16310.27,2,0,31,38.99
2023-01,P00003,S00086,972,37558.08,23882.04,13676.04,0,0,31,38.64
2023-01,P00003,S00099,964,36410.28,23685.48,12724.8,0,0,31,37.77
2023-01,P00003,S00139,1664,62383.36,40884.48,21498.88,0,2,31,37.49
2023-01,P00003,S00140,525,21031.5,12899.25,8132.25,0,5,31,40.06
2023-01,P00003,S00153,184,6876.08,4520.88,2355.2,0,0,31,37.37
2023-01,P00003,S00155,873,33977.16,21449.61,12527.55,0,3,31,38.92
2023-01,P00003,S00177,552,20733.12,13562.64,7170.48,0,0,31,37.56
2023-01,P00004,S00014,2721,102064.71,61304.13,40760.58,0,0,31,37.51
2023-01,P00004,S00023,4647,175006.02,104696.91,70309.11,0,0,31,37.66
2023-01,P00004,S00025,5314,193907.86000000002,119724.42,74183.44,0,2,31,36.49
2023-01,P00004,S00026,3129,113488.83,70496.37,42992.46,0,3,31,36.27
2023-01,P00004,S00039,1926,69316.74,43392.78,25923.96,0,1,31,35.99
2023-01,P00004,S00047,4649,172896.31,104741.97,68154.34,0,0,31,37.19
2023-01,P00004,S00048,5898,150762.93,132881.94,17880.99,15,0,31,29.61
2023-01,P00004,S00049,1089,40815.72,24535.17,16280.55,0,3,31,37.48
2023-01,P00004,S00053,1636,61955.32,36859.08,25096.24,0,2,31,37.87
2023-01,P00004,S00080,7082,189651.80000000002,159557.46,30094.34,16,0,31,31.01
2023-01,P00004,S00092,3177,113800.14,71577.81,42222.33,0,3,31,35.82
2023-01,P00004,S00097,408,14471.76,9192.24,5279.5199999999995,0,2,31,35.47
2023-01,P00004,S00106,1062,37509.840000000004,23926.86,13582.98,0,0,31,35.32
2023-01,P00004,S00108,3685,134023.45,83023.05,51000.4,0,0,31,36.37
2023-01,P00004,S00122,541,19724.86,12188.73,7536.13,0,0,31,36.46
2023-01,P00004,S00126,5564,206480.04,125356.92,81123.12,0,0,31,37.11
2023-01,P00004,S00136,3472,129783.36,78224.16,51559.2,0,1,31,37.38
2023-01,P00004,S00139,4584,160371.13,103277.52,57093.61,10,1,31,35.42
2023-01,P00004,S00147,2632,84356.16,59298.96,25057.2,21,9,31,32.89
2023-01,P00004,S00155,2297,86068.59,51751.409999999996,34317.18,0,5,31,37.47
2023-01,P00004,S00163,6318,189403.63,142344.54,47059.09,29,3,31,30.85
2023-01,P00004,S00167,1745,58142.69,39314.85,18827.84,9,3,31,33.65
2023-01,P00004,S00189,2924,108158.76,65877.72,42281.04,0,1,31,36.99
2023-01,P00004,S00195,2562,95946.9,57721.86,38225.04,0,0,31,37.45
2023-01,P00005,S00005,0,0.0,0.0,0.0,0,0,31,106.06
2023-01,P00005,S00011,0,0.0,0.0,0.0,16,0,31,94.35
2023-01,P00005,S00019,0,0.0,0.0,0.0,0,0,31,106.84
2023-01,P00005,S00038,0,0.0,0.0,0.0,0,0,31,99.22
2023-01,P00005,S00048,0,0.0,0.0,0.0,0,0,31,104.57
2023-01,P00005,S00051,0,0.0,0.0,0.0,14,0,31,95.53
2023-01,P00005,S00060,0,0.0,0.0,0.0,0,0,31,103.86
2023-01,P00005,S00063,0,0.0,0.0,0.0,0,0,31,105.23
2023-01,P00005,S00065,0,0.0,0.0,0.0,0,0,31,104.39
2023-01,P00005,S00074,0,0.0,0.0,0.0,0,0,31,106.77
2023-01,P00005,S00077,0,0.0,0.0,0.0,0,0,31,105.96
2023-01,P00005,S00085,0,0.0,0.0,0.0,12,0,31,96.88
2023-01,P00005,S00089,0,0.0,0.0,0.0,7,0,31,96.58
2023-01,P00005,S00105,0,0.0,0.0,0.0,0,0,31,102.93
2023-01,P00005,S00108,0,0.0,0.0,0.0,0,0,31,99.66
2023-01,P00005,S00120,0,0.0,0.0,0.0,0,0,31,103.72
2023-01,P00005,S00124,0,0.0,0.0,0.0,11,0,31,87.92
2023-01,P00005,S00125,0,0.0,0.0,0.0,0,0,31,105.36
2023-01,P00005,S00130,0,0.0,0.0,0.0,0,0,31,105.66
2023-01,P00005,S00152,0,0.0,0.0,0.0,0,0,31,97.85
2023-01,P00005,S00154,0,0.0,0.0,0.0,0,0,31,103.42
2023-01,P00005,S00163,0,0.0,0.0,0.0,17,0,31,83.84
2023-01,P00005,S00184,0,0.0,0.0,0.0,12,0,31,97.1
2023-01,P00005,S00188,0,0.0,0.0,0.0,0,0,31,109.83
2023-01,P00005,S00197,0,0.0,0.0,0.0,2,0,31,102.36
2023-01,P00005,S00199,0,0.0,0.0,0.0,0,0,31,100.74
2023-01,P00006,S00001,1104,26507.04,18260.16,8246.88,0,2,31,24.01
2023-01,P00006,S00003,4243,104250.51,70179.22,34071.29,0,0,31,24.57
2023-01,P00006,S00014,2236,51707.02,36983.44,14723.58,11,2,31,23.48
2023-01,P00006,S00023,3037,74467.24,50231.98,24235.26,0,0,31,24.52
2023-01,P00006,S00024,2783,72107.53,46030.82,26076.71,0,0,31,25.91
2023-01,P00006,S00047,3371,86600.98999999999,55756.34,30844.65,0,0,31,25.69
2023-01,P00006,S00053,1605,39996.6,26546.7,13449.9,0,1,31,24.92
2023-01,P00006,S00066,755,16937.329999999998,12487.7,4449.63,11,0,31,23.1
2023-01,P00006,S00067,995,23024.3,16457.3,6567.0,0,0,31,23.14
2023-01,P00006,S00068,2751,69215.16,45501.54,23713.62,0,0,31,25.16
2023-01,P00006,S00069,1923,49190.34,31806.42,17383.92,0,0,31,25.58
2023-01,P00006,S00073,523,12625.22,8650.42,3974.7999999999997,0,0,31,24.14
2023-01,P00006,S00077,3090,79258.5,51108.6,28149.9,0,0,31,25.65
2023-01,P00006,S00082,5376,114683.92,88919.04,25764.88,14,0,31,22.75
2023-01,P00006,S00091,368,9096.96,6086.72,3010.24,0,1,31,24.72
2023-01,P00006,S00099,1565,35030.96,25885.100000000002,9145.86,8,1,31,22.8
2023-01,P00006,S00111,977,23103.02,16159.58,6943.44,2,0,31,24.01
2023-01,P00006,S00143,377,9236.5,6235.58,3000.92,0,0,31,24.5
2023-01,P00006,S00144,2868,73535.52,47436.72,26098.8,0,0,31,25.64
2023-01,P00006,S00145,2660,65648.8,43996.4,21652.4,0,0,31,24.68
2023-01,P00006,S00146,677,17161.95,11197.58,5964.37,0,0,31,25.35
2023-01,P00006,S00148,2786,66223.22,46080.44,20142.78,0,2,31,23.77
2023-01,P00006,S00150,581,13885.9,9609.74,4276.16,0,2,31,23.9
2023-01,P00006,S00151,2147,51742.7,35511.38,16231.32,0,0,31,24.1
2023-01,P00006,S00175,2311,57821.22,38223.94,19597.28,0,0,31,25.02
2023-01,P00006,S00180,879,21113.58,14538.66,6574.92,0,0,31,24.02
2023-01,P00006,S00189,2434,61945.3,40258.36,21686.94,0,0,31,25.45
2023-01,P00007,S00026,0,0.0,0.0,0.0,7,0,31,108.18
2023-01,P00007,S00027,0,0.0,0.0,0.0,13,0,31,106.01
2023-01,P00007,S00038,0,0.0,0.0,0.0,0,0,31,105.27
2023-01,P00007,S00043,0,0.0,0.0,0.0,0,0,31,113.61
2023-01,P00007,S00056,0,0.0,0.0,0.0,0,0,31,107.08
2023-01,P00007,S00070,0,0.0,0.0,0.0,0,0,31,108.65
2023-01,P00007,S00080,0,0.0,0.0,0.0,0,0,31,113.22
2023-01,P00007,S00084,0,0.0,0.0,0.0,0,0,31,116.7
2023-01,P00007,S00111,0,0.0,0.0,0.0,0,0,31,115.97
2023-01,P00007,S00125,0,0.0,0.0,0.0,5,0,31,112.8
2023-01,P00007,S00131,0,0.0,0.0,0.0,0,0,31,108.7
2023-01,P00007,S00133,0,0.0,0.0,0.0,0,0,31,107.27
2023-01,P00007,S00135,0,0.0,0.0,0.0,8,0,31,106.08
2023-01,P00007,S00139,0,0.0,0.0,0.0,0,0,31,113.0
2023-01,P00007,S00141,0,0.0,0.0,0.0,11,0,31,103.55
2023-01,P00007,S00149,0,0.0,0.0,0.0,0,0,31,110.46
2023-01,P00007,S00172,0,0.0,0.0,0.0,0,0,31,113.49
2023-01,P00008,S00015,3233,136781.96,95858.45,40923.51,7,5,31,43.18
2023-01,P00008,S00017,1023,47712.72,30331.95,17380.77,0,0,31,46.64
2023-01,P00008,S00019,1870,86824.1,55445.5,31378.6,0,0,31,46.43
2023-01,P00008,S00023,4117,177337.67,122069.05,55268.62,5,0,31,43.78
2023-01,P00008,S00035,1028,45992.72,30480.2,15512.52,0,0,31,44.74
2023-01,P00008,S00037,2006,91172.7,59477.9,31694.8,0,0,31,45.45
2023-01,P00008,S00081,4735,196793.0,140392.75,56400.25,10,0,31,43.19
2023-01,P00008,S00085,3148,135686.9,93338.2,42348.7,19,0,31,43.1
2023-01,P00008,S00099,1998,88631.28,59240.7,29390.58,0,0,31,44.36
2023-01,P00008,S00101,1433,65416.45,42488.45,22928.0,0,4,31,45.65
2023-01,P00008,S00145,2790,129483.90000000001,82723.5,46760.4,0,1,31,46.41
2023-01,P00008,S00157,2654,112416.03,78691.1,33724.93,15,1,31,42.9
2023-01,P00008,S00163,3323,142839.96,98526.95,44313.01,6,0,31,43.61
2023-01,P00008,S00166,2833,90479.83,83998.45,6481.38,17,0,31,36.41
2023-01,P00008,S00188,2585,118418.85,76645.25,41773.6,0,0,31,45.81
2023-01,P00009,S00002,299,41839.07,24171.16,17667.91,0,0,31,139.93
2023-01,P00009,S00007,438,60632.34,35407.92,25224.420000000002,0,0,31,138.43
2023-01,P00009,S00009,348,46155.24,28132.32,18022.920000000002,0,5,31,132.63
2023-01,P00009,S00033,1984,258683.54,160386.56,98296.98,2,0,31,130.36
2023-01,P00009,S00034,8236,836330.49,665798.24,170532.25,19,0,31,110.36
2023-01,P00009,S00046,1530,206152.2,123685.2,82467.0,0,0,31,134.74
2023-01,P00009,S00047,3719,504110.45,300643.96,203466.49,0,0,31,135.55
2023-01,P00009,S00048,2063,278174.92,166772.92,111402.0,0,8,31,134.84
2023-01,P00009,S00074,855,101360.45,69118.2,32242.25,14,6,31,124.98
2023-01,P00009,S00078,810,112176.90000000001,65480.4,46696.5,0,0,31,138.49
2023-01,P00009,S00091,362,50882.72,29264.08,21618.64,0,0,31,140.56
2023-01,P00009,S00096,869,119079.06999999999,70249.95999999999,48829.11,0,0,31,137.03
2023-01,P00009,S00108,3999,543184.17,323279.16000000003,219905.01,0,0,31,135.83
2023-01,P00009,S00116,580,82708.0,46887.2,35820.8,0,0,31,142.6
2023-01,P00009,S00117,1312,178707.52,106062.08,72645.44,0,0,31,136.21
2023-01,P00009,S00126,4836,680860.44,390942.24,289918.2,0,0,31,140.79
2023-01,P00009,S00139,5018,624701.0599999999,405655.12,219045.94,10,2,31,128.15
2023-01,P00009,S00140,1156,158256.4,93451.04,64805.36,0,5,31,136.9
2023-01,P00009,S00148,4463,515807.62,360788.92,155018.7,14,0,31,118.94
2023-01,P00009,S00151,2480,337701.6,200483.2,137218.4,0,0,31,136.17
2023-01,P00009,S00159,896,126497.28,72432.64,54064.64,0,0,31,141.18
2023-01,P00009,S00163,3436,463062.61,277766.24,185296.37,0,0,31,134.77
2023-01,P00010,S00003,0,0.0,0.0,0.0,8,0,31,97.39
2023-01,P00010,S00008,0,0.0,0.0,0.0,5,0,31,104.68
2023-01,P00010,S00015,0,0.0,0.0,0.0,8,0,31,103.35
2023-01,P00010,S00021,0,0.0,0.0,0.0,0,0,31,110.8
2023-01,P00010,S00033,0,0.0,0.0,0.0,0,0,31,107.87
2023-01,P00010,S00040,0,0.0,0.0,0.0,16,0,31,104.94
2023-01,P00010,S00043,0,0.0,0.0,0.0,8,0,31,106.31
2023-01,P00010,S00052,0,0.0,0.0,0.0,17,0,31,100.12
2023-01,P00010,S00056,0,0.0,0.0,0.0,0,0,31,107.69
2023-01,P00010,S00062,0,0.0,0.0,0.0,0,0,31,107.26
2023-01,P00010,S00064,0,0.0,0.0,0.0,0,0,31,107.66
2023-01,P00010,S00070,0,0.0,0.0,0.0,21,0,31,84.56
2023-01,P00010,S00071,0,0.0,0.0,0.0,0,0,31,108.19
2023-01,P00010,S00077,0,0.0,0.0,0.0,0,0,31,114.98
2023-01,P00010,S00078,0,0.0,0.0,0.0,0,0,31,111.32
2023-01,P00010,S00079,0,0.0,0.0,0.0,12,0,31,105.67
2023-01,P00010,S00101,0,0.0,0.0,0.0,0,0,31,107.01
2023-01,P00010,S00105,0,0.0,0.0,0.0,0,0,31,111.01
2023-01,P00010,S00108,0,0.0,0.0,0.0,0,0,31,107.49
2023-01,P00010,S00117,0,0.0,0.0,0.0,0,0,31,104.21
2023-01,P00010,S00126,0,0.0,0.0,0.0,0,0,31,110.39
2023-01,P00010,S00131,0,0.0,0.0,0.0,0,0,31,109.08
2023-01,P00010,S00132,0,0.0,0.0,0.0,9,0,31,110.18
2023-01,P00010,S00144,0,0.0,0.0,0.0,9,0,31,104.7
2023-01,P00010,S00145,0,0.0,0.0,0.0,0,0,31,111.84
2023-01,P00010,S00173,0,0.0,0.0,0.0,6,0,31,103.95
2023-01,P00011,S00004,719,19578.37,12417.13,7161.24,0,0,31,27.23
2023-01,P00011,S00025,2325,62379.75,40152.75,22227.0,0,1,31,26.83
2023-01,P00011,S00026,1811,48480.47,31275.97,17204.5,0,0,31,26.77
2023-01,P00011,S00036,1759,47281.92,30377.93,16903.99,0,0,31,26.88
2023-01,P00011,S00043,2562,73452.54,44245.74,29206.8,0,0,31,28.67
2023-01,P00011,S00048,1642,43939.92,28357.34,15582.58,0,0,31,26.76
2023-01,P00011,S00052,1776,41960.87,30671.52,11289.35,14,3,31,24.23
2023-01,P00011,S00075,1650,44038.5,28495.5,15543.0,0,0,31,26.69
2023-01,P00011,S00086,1548,41610.24,26733.96,14876.28,0,0,31,26.88
2023-01,P00011,S00087,391,10432.98,6752.57,3680.41,8,1,31,27.06
2023-01,P00011,S00110,2207,58706.2,38114.89,20591.31,0,0,31,26.6
2023-01,P00011,S00113,2292,62296.56,39582.84,22713.72,0,0,31,27.18
2023-01,P00011,S00115,2592,70243.2,44763.84,25479.36,0,2,31,27.1
2023-01,P00011,S00124,3697,74461.55,63847.19,10614.36,20,5,31,21.79
2023-01,P00011,S00128,850,23222.0,14679.5,8542.5,0,0,31,27.32
2023-01,P00011,S00148,2281,60172.78,39392.87,20779.91,0,0,31,26.38
2023-01,P00011,S00171,475,11058.94,8203.25,2855.69,7,5,31,25.42
2023-01,P00011,S00172,2036,52921.8,35161.72,17760.08,7,2,31,26.29
2023-01,P00011,S00175,1631,42654.76,28167.37,14487.390000000001,9,5,31,26.15
2023-01,P00012,S00011,933,102985.62,67110.69,35874.93,15,0,31,111.44
2023-01,P00012,S00012,637,73486.03,45819.41,27666.62,3,0,31,116.02
2023-01,P00012,S00015,1209,141514.64,86963.37,54551.27,5,0,31,117.03
2023-01,P00012,S00018,362,43125.06,26038.66,17086.4,0,0,31,119.13
2023-01,P00012,S00023,1205,143491.4,86675.65,56815.75,0,2,31,119.08
2023-01,P00012,S00039,634,72085.8,45603.62,26482.18,0,0,31,113.7
2023-01,P00012,S00088,341,40619.92,24528.13,16091.789999999999,0,0,31,119.12
2023-01,P00012,S00108,1154,133587.04,83007.22,50579.82,0,0,31,115.76
2023-01,P00012,S00111,388,45326.16,27908.84,17417.32,0,0,31,116.82
2023-01,P00012,S00122,140,16753.8,10070.2,6683.6,0,0,31,119.67
2023-01,P00012,S00139,1545,169944.54,111131.84999999999,58812.69,5,0,31,113.61
2023-01,P00012,S00147,568,68699.6,40856.24,27843.36,0,0,31,120.95
2023-01,P00012,S00148,1178,134621.84,84733.54,49888.3,0,0,31,114.28
2023-01,P00012,S00163,1080,133390.8,77684.4,55706.4,0,0,31,123.51
2023-01,P00012,S00185,698,85777.22,50207.14,35570.08,0,0,31,122.89
2023-01,P00013,S00001,1012,79935.6,56499.96,23435.64,11,0,31,80.39
2023-01,P00013,S00008,287,22480.71,16023.21,6457.5,0,2,31,78.33
2023-01,P00013,S00009,187,15176.92,10440.21,4736.71,0,0,31,81.16
2023-01,P00013,S00022,1171,91291.16,65376.93,25914.23,0,4,31,77.96
2023-01,P00013,S00023,2307,195425.97,128799.81,66626.16,0,0,31,84.71
2023-01,P00013,S00024,2691,208251.43,150238.53,58012.9,6,0,31,80.69
2023-01,P00013,S00025,3078,240659.18,171844.74,68814.44,8,3,31,78.72
2023-01,P00013,S00034,1701,148735.44,94966.83,53768.61,0,0,31,87.44
2023-01,P00013,S00037,1375,109636.59,76766.25,32870.34,17,0,31,79.97
2023-01,P00013,S00045,435,36200.7,24286.05,11914.65,0,2,31,83.22
2023-01,P00013,S00047,2237,186096.03,124891.70999999999,61204.32,0,1,31,83.19
2023-01,P00013,S00061,566,35572.19,31599.78,3972.41,10,0,31,70.61
2023-01,P00013,S00070,1612,118950.36,89997.96,28952.4,15,9,31,75.69
2023-01,P00013,S00091,365,24800.78,20377.95,4422.83,15,2,31,73.0
2023-01,P00013,S00092,1788,143504.88,99824.04,43680.84,0,0,31,80.26
2023-01,P00013,S00119,1093,88423.7,61022.19,27401.51,0,0,31,80.9
2023-01,P00013,S00131,1090,88137.4,60854.7,27282.7,0,1,31,80.86
2023-01,P00013,S00135,1848,155952.72,103173.84,52778.88,0,0,31,84.39
2023-01,P00013,S00148,2205,172627.68,123105.15000000001,49522.53,9,1,31,78.96
2023-01,P00013,S00150,441,36276.66,24621.03,11655.630000000001,0,0,31,82.26
2023-01,P00013,S00157,1021,83068.56,57002.43,26066.13,0,2,31,81.36
2023-01,P00013,S00167,778,62247.78,43435.74,18812.04,0,4,31,80.01
2023-01,P00013,S00173,1389,113689.65,77547.87,36141.78,0,0,31,81.85
2023-01,P00013,S00194,1762,143955.4,98372.45999999999,45582.94,0,0,31,81.7
2023-01,P00014,S00003,3248,241391.36,159022.08,82369.28,0,0,31,74.32
2023-01,P00014,S00014,1455,103827.6,71236.8,32590.8,8,0,31,72.36
2023-01,P00014,S00033,994,72959.6,48666.24,24293.36,0,0,31,73.4
2023-01,P00014,S00046,888,62692.8,43476.48,19216.32,0,2,31,70.6
2023-01,P00014,S00047,2167,160943.03,106096.32,54846.71,5,0,31,74.3
2023-01,P00014,S00071,1150,84272.0,56304.0,27968.0,0,0,31,73.28
2023-01,P00014,S00081,1616,115220.8,79119.36,36101.44,0,0,31,71.3
2023-01,P00014,S00089,1243,87445.05,60857.28,26587.77,0,0,31,70.35
2023-01,P00014,S00091,238,17654.84,11652.48,6002.36,0,0,31,74.18
2023-01,P00014,S00108,1984,145228.8,97136.64,48092.16,0,0,31,73.2
2023-01,P00014,S00110,1995,134490.69,97675.2,36815.49,5,0,31,68.86
2023-01,P00014,S00115,2692,197862.0,131800.32,66061.68,0,0,31,73.5
2023-01,P00014,S00119,1068,75475.56,52289.28,23186.28,0,0,31,70.67
2023-01,P00014,S00130,1993,145508.93,97577.28,47931.65,0,0,31,73.01
2023-01,P00014,S00134,343,24040.87,16793.28,7247.59,0,0,31,70.09
2023-01,P00014,S00151,1586,111352.8,77650.56,33702.24,0,0,31,70.26
2023-01,P00014,S00163,1681,125738.8,82301.76,43437.04,0,5,31,74.8
2023-01,P00014,S00173,1199,84421.59,58703.04,25718.55,0,0,31,70.41
2023-01,P00014,S00179,127,9616.44,6217.92,3398.52,0,0,31,75.72
2023-01,P00014,S00192,3117,150282.94,152608.32,-2325.38,21,1,31,55.22
2023-01,P00015,S00003,3914,344204.41,220475.62,123728.79,14,1,31,89.49
2023-01,P00015,S00007,458,37370.91,25799.14,11571.77,14,0,31,84.47
2023-01,P00015,S00011,1269,126379.70999999999,71482.77,54896.94,0,0,31,99.59
2023-01,P00015,S00028,633,61413.66,35656.89,25756.77,0,0,31,97.02
2023-01,P00015,S00055,1391,138905.26,78355.03,60550.229999999996,0,0,31,99.86
2023-01,P00015,S00056,2003,186720.47,112828.99,73891.48,15,0,31,94.46
2023-01,P00015,S00057,240,22255.75,13519.2,8736.550000000001,15,0,31,93.57
2023-01,P00015,S00060,738,71571.24,41571.54,29999.7,0,2,31,96.98
2023-01,P00015,S00062,1981,196990.64,111589.73,85400.91,0,0,31,99.44
2023-01,P00015,S00102,980,98294.0,55203.4,43090.6,0,0,31,100.3
2023-01,P00015,S00107,274,24019.09,15434.42,8584.67,3,3,31,91.32
2023-01,P00015,S00110,2288,229188.96,128883.04,100305.92,0,1,31,100.17
2023-01,P00015,S00111,712,71762.48,40106.96,31655.52,0,0,31,100.79
2023-01,P00015,S00140,820,74225.17,46190.6,28034.57,12,0,31,90.56
2023-01,P00015,S00148,2356,201246.18,132713.48,68532.7,11,4,31,88.69
2023-01,P00015,S00157,1132,108434.28,63765.56,44668.72,0,0,31,95.79
2023-01,P00015,S00158,1656,165550.32,93282.48,72267.84,0,0,31,99.97
2023-01,P00015,S00164,757,73908.66,42641.81,31266.85,9,0,31,98.02
2023-01,P00015,S00174,2063,178189.80000000002,116208.79,61981.009999999995,24,0,31,87.49
2023-01,P00016,S00015,0,0.0,0.0,0.0,0,0,31,131.45
2023-01,P00016,S00036,0,0.0,0.0,0.0,15,0,31,119.85
2023-01,P00016,S00053,0,0.0,0.0,0.0,0,0,31,137.8
2023-01,P00016,S00060,0,0.0,0.0,0.0,10,0,31,136.64
2023-01,P00016,S00062,0,0.0,0.0,0.0,0,0,31,137.48
2023-01,P00016,S00069,0,0.0,0.0,0.0,0,0,31,137.7
2023-01,P00016,S00075,0,0.0,0.0,0.0,21,0,31,96.0
2023-01,P00016,S00077,0,0.0,0.0,0.0,0,0,31,137.22
2023-01,P00016,S00099,0,0.0,0.0,0.0,15,0,31,123.32
2023-01,P00016,S00111,0,0.0,0.0,0.0,0,0,31,135.64
2023-01,P00016,S00117,0,0.0,0.0,0.0,14,0,31,114.9
2023-01,P00016,S00130,0,0.0,0.0,0.0,0,0,31,139.36
2023-01,P00016,S00133,0,0.0,0.0,0.0,13,0,31,127.93
2023-01,P00016,S00136,0,0.0,0.0,0.0,0,0,31,141.91
2023-01,P00016,S00139,0,0.0,0.0,0.0,0,0,31,137.58
2023-01,P00016,S00176,0,0.0,0.0,0.0,21,0,31,111.95
2023-01,P00016,S00186,0,0.0,0.0,0.0,0,0,31,136.23
2023-01,P00017,S00015,1346,142191.44,100465.44,41726.0,0,5,31,105.64
2023-01,P00017,S00019,1071,116374.86,79939.44,36435.42,0,0,31,108.66
2023-01,P00017,S00021,2364,264011.52,176448.96,87562.56,0,1,31,111.68
2023-01,P00017,S00030,1517,155605.18,113228.88,42376.3,4,0,31,102.8
2023-01,P00017,S00035,461,46648.59,34409.04,12239.55,0,1,31,101.19
2023-01,P00017,S00036,2221,170700.24,165775.44,4924.8,15,2,31,86.76
2023-01,P00017,S00042,470,42711.94,35080.8,7631.14,19,0,31,93.62
2023-01,P00017,S00043,1914,209544.72,142860.96,66683.76,0,0,31,109.48
2023-01,P00017,S00067,708,69675.78,52845.12,16830.66,14,1,31,99.46
2023-01,P00017,S00070,1223,129931.52,91284.72,38646.8,0,1,31,106.24
2023-01,P00017,S00076,615,67035.0,45903.6,21131.4,0,0,31,109.0
2023-01,P00017,S00084,451,49799.42,33662.64,16136.78,0,0,31,110.42
2023-01,P00017,S00086,1396,144988.56,104197.44,40791.12,0,0,31,103.86
2023-01,P00017,S00089,1089,113408.46,81282.96,32125.5,0,1,31,104.14
2023-01,P00017,S00099,1242,126435.6,92702.88,33732.72,0,0,31,101.8
2023-01,P00017,S00101,946,87360.02,70609.44,16750.58,5,2,31,99.0
2023-01,P00017,S00105,1485,158122.8,110840.4,47282.4,0,0,31,106.48
2023-01,P00017,S00126,2246,247711.34,167641.44,80069.9,0,3,31,110.29
2023-01,P00017,S00130,2020,218321.6,150772.8,67548.8,0,0,31,108.08
2023-01,P00017,S00131,937,100467.31,69937.68000000001,30529.63,9,0,31,108.27
2023-01,P00017,S00134,238,24611.579999999998,17764.32,6847.26,0,0,31,103.41
2023-01,P00017,S00135,1966,194822.52,146742.24,48080.28,5,3,31,101.99
2023-01,P00017,S00143,198,21007.8,14778.72,6229.08,0,3,31,106.1
2023-01,P00017,S00157,937,101730.09,69937.68,31792.41,0,0,31,108.57
2023-01,P00017,S00163,1617,162751.05,120692.88,42058.17,0,6,31,100.65
2023-01,P00017,S00164,676,71318.0,50456.64,20861.36,0,1,31,105.5
2023-01,P00017,S00172,1555,155898.01,116065.2,39832.81,11,0,31,101.07
2023-01,P00017,S00173,1057,105668.29,78894.48,26773.81,0,0,31,99.97
2023-01,P00017,S00175,1355,146949.75,101137.2,45812.55,0,0,31,108.45
