date,day,week,month,quarter,year,day_of_week,day_name,week_of_year,day_of_year,weekend_flag,holiday_name,holiday_flag,festival_flag,festival_name,season,financial_month,financial_year,financial_quarter
2023-03-14,14,11,3,1,2023,1,Tuesday,11,73,False,,False,False,,Spring,12,2022,4
2023-03-15,15,11,3,1,2023,2,Wednesday,11,74,False,,False,False,,Spring,12,2022,4
2023-03-16,16,11,3,1,2023,3,Thursday,11,75,False,,False,False,,Spring,12,2022,4
2023-03-17,17,11,3,1,2023,4,Friday,11,76,False,,False,False,,Spring,12,2022,4
2023-03-18,18,11,3,1,2023,5,Saturday,11,77,True,,False,False,,Spring,12,2022,4
2023-03-19,19,11,3,1,2023,6,Sunday,11,78,True,,False,False,,Spring,12,2022,4
2023-03-20,20,12,3,1,2023,0,Monday,12,79,False,,False,False,,Spring,12,2022,4
2023-03-21,21,12,3,1,2023,1,Tuesday,12,80,False,,False,False,,Spring,12,2022,4
2023-03-22,22,12,3,1,2023,2,Wednesday,12,81,False,,False,False,,Spring,12,2022,4
2023-03-23,23,12,3,1,2023,3,Thursday,12,82,False,,False,False,,Spring,12,2022,4
2023-03-24,24,12,3,1,2023,4,Friday,12,83,False,,False,False,,Spring,12,2022,4
2023-03-25,25,12,3,1,2023,5,Saturday,12,84,True,,False,False,,Spring,12,2022,4
2023-03-26,26,12,3,1,2023,6,Sunday,12,85,True,,False,False,,Spring,12,2022,4
2023-03-27,27,13,3,1,2023,0,Monday,13,86,False,,False,False,,Spring,12,2022,4
2023-03-28,28,13,3,1,2023,1,Tuesday,13,87,False,,False,False,,Spring,12,2022,4
2023-03-29,29,13,3,1,2023,2,Wednesday,13,88,False,,False,False,,Spring,12,2022,4
2023-03-30,30,13,3,1,2023,3,Thursday,13,89,False,,False,False,,Spring,12,2022,4
2023-03-31,31,13,3,1,2023,4,Friday,13,90,False,,False,False,,Spring,12,2022,4
2023-04-01,1,13,4,2,2023,5,Saturday,13,91,True,,False,False,,Summer,1,2023,1
2023-04-02,2,13,4,2,2023,6,Sunday,13,92,True,,False,False,,Summer,1,2023,1
2023-04-03,3,14,4,2,2023,0,Monday,14,93,False,,False,False,,Summer,1,2023,1
2023-04-04,4,14,4,2,2023,1,Tuesday,14,94,False,,False,False,,Summer,1,2023,1
2023-04-05,5,14,4,2,2023,2,Wednesday,14,95,False,,False,False,,Summer,1,2023,1
2023-04-06,6,14,4,2,2023,3,Thursday,14,96,False,,False,False,,Summer,1,2023,1
2023-04-07,7,14,4,2,2023,4,Friday,14,97,False,,False,False,,Summer,1,2023,1
2023-04-08,8,14,4,2,2023,5,Saturday,14,98,True,,False,False,,Summer,1,2023,1
2023-04-09,9,14,4,2,2023,6,Sunday,14,99,True,,False,False,,Summer,1,2023,1
2023-04-10,10,15,4,2,2023,0,Monday,15,100,False,,False,False,,Summer,1,2023,1
2023-04-11,11,15,4,2,2023,1,Tuesday,15,101,False,,False,False,,Summer,1,2023,1
2023-04-12,12,15,4,2,2023,2,Wednesday,15,102,False,,False,False,,Summer,1,2023,1
2023-04-13,13,15,4,2,2023,3,Thursday,15,103,False,,False,False,,Summer,1,2023,1
2023-04-14,14,15,4,2,2023,4,Friday,15,104,False,,False,False,,Summer,1,2023,1
2023-04-15,15,15,4,2,2023,5,Saturday,15,105,True,,False,False,,Summer,1,2023,1
2023-04-16,16,15,4,2,2023,6,Sunday,15,106,True,,False,True,Eid al-Fitr,Summer,1,2023,1
2023-04-17,17,16,4,2,2023,0,Monday,16,107,False,,False,True,Eid al-Fitr,Summer,1,2023,1
2023-04-18,18,16,4,2,2023,1,Tuesday,16,108,False,,False,True,Eid al-Fitr,Summer,1,2023,1
2023-04-19,19,16,4,2,2023,2,Wednesday,16,109,False,,False,True,Eid al-Fitr,Summer,1,2023,1
2023-04-20,20,16,4,2,2023,3,Thursday,16,110,False,,False,True,Eid al-Fitr,Summer,1,2023,1
2023-04-21,21,16,4,2,2023,4,Friday,16,111,False,,False,True,Eid al-Fitr,Summer,1,2023,1
2023-04-22,22,16,4,2,2023,5,Saturday,16,112,True,,False,True,Eid al-Fitr,Summer,1,2023,1
2023-04-23,23,16,4,2,2023,6,Sunday,16,113,True,,False,False,,Summer,1,2023,1
2023-04-24,24,17,4,2,2023,0,Monday,17,114,False,,False,False,,Summer,1,2023,1
2023-04-25,25,17,4,2,2023,1,Tuesday,17,115,False,,False,False,,Summer,1,2023,1
2023-04-26,26,17,4,2,2023,2,Wednesday,17,116,False,,False,False,,Summer,1,2023,1
2023-04-27,27,17,4,2,2023,3,Thursday,17,117,False,,False,False,,Summer,1,2023,1
2023-04-28,28,17,4,2,2023,4,Friday,17,118,False,,False,False,,Summer,1,2023,1
2023-04-29,29,17,4,2,2023,5,Saturday,17,119,True,,False,False,,Summer,1,2023,1
2023-04-30,30,17,4,2,2023,6,Sunday,17,120,True,,False,False,,Summer,1,2023,1
2023-05-01,1,18,5,2,2023,0,Monday,18,121,False,Labour Day,True,False,,Summer,2,2023,1
2023-05-02,2,18,5,2,2023,1,Tuesday,18,122,False,,False,False,,Summer,2,2023,1
2023-05-03,3,18,5,2,2023,2,Wednesday,18,123,False,,False,False,,Summer,2,2023,1
2023-05-04,4,18,5,2,2023,3,Thursday,18,124,False,,False,False,,Summer,2,2023,1
2023-05-05,5,18,5,2,2023,4,Friday,18,125,False,,False,False,,Summer,2,2023,1
2023-05-06,6,18,5,2,2023,5,Saturday,18,126,True,,False,False,,Summer,2,2023,1
2023-05-07,7,18,5,2,2023,6,Sunday,18,127,True,,False,False,,Summer,2,2023,1
2023-05-08,8,19,5,2,2023,0,Monday,19,128,False,,False,False,,Summer,2,2023,1
2023-05-09,9,19,5,2,2023,1,Tuesday,19,129,False,,False,False,,Summer,2,2023,1
2023-05-10,10,19,5,2,2023,2,Wednesday,19,130,False,,False,False,,Summer,2,2023,1
2023-05-11,11,19,5,2,2023,3,Thursday,19,131,False,,False,False,,Summer,2,2023,1
2023-05-12,12,19,5,2,2023,4,Friday,19,132,False,,False,False,,Summer,2,2023,1
2023-05-13,13,19,5,2,2023,5,Saturday,19,133,True,,False,False,,Summer,2,2023,1
2023-05-14,14,19,5,2,2023,6,Sunday,19,134,True,,False,False,,Summer,2,2023,1
2023-05-15,15,20,5,2,2023,0,Monday,20,135,False,,False,False,,Summer,2,2023,1
2023-05-16,16,20,5,2,2023,1,Tuesday,20,136,False,,False,False,,Summer,2,2023,1
2023-05-17,17,20,5,2,2023,2,Wednesday,20,137,False,,False,False,,Summer,2,2023,1
2023-05-18,18,20,5,2,2023,3,Thursday,20,138,False,,False,False,,Summer,2,2023,1
2023-05-19,19,20,5,2,2023,4,Friday,20,139,False,,False,False,,Summer,2,2023,1
2023-05-20,20,20,5,2,2023,5,Saturday,20,140,True,,False,False,,Summer,2,2023,1
2023-05-21,21,20,5,2,2023,6,Sunday,20,141,True,,False,False,,Summer,2,2023,1
2023-05-22,22,21,5,2,2023,0,Monday,21,142,False,,False,False,,Summer,2,2023,1
2023-05-23,23,21,5,2,2023,1,Tuesday,21,143,False,,False,False,,Summer,2,2023,1
2023-05-24,24,21,5,2,2023,2,Wednesday,21,144,False,,False,False,,Summer,2,2023,1
2023-05-25,25,21,5,2,2023,3,Thursday,21,145,False,,False,False,,Summer,2,2023,1
2023-05-26,26,21,5,2,2023,4,Friday,21,146,False,,False,False,,Summer,2,2023,1
2023-05-27,27,21,5,2,2023,5,Saturday,21,147,True,,False,False,,Summer,2,2023,1
2023-05-28,28,21,5,2,2023,6,Sunday,21,148,True,,False,False,,Summer,2,2023,1
2023-05-29,29,22,5,2,2023,0,Monday,22,149,False,,False,False,,Summer,2,2023,1
2023-05-30,30,22,5,2,2023,1,Tuesday,22,150,False,,False,False,,Summer,2,2023,1
2023-05-31,31,22,5,2,2023,2,Wednesday,22,151,False,,False,False,,Summer,2,2023,1
2023-06-01,1,22,6,2,2023,3,Thursday,22,152,False,,False,False,,Summer,3,2023,1
2023-06-02,2,22,6,2,2023,4,Friday,22,153,False,,False,False,,Summer,3,2023,1
2023-06-03,3,22,6,2,2023,5,Saturday,22,154,True,,False,False,,Summer,3,2023,1
2023-06-04,4,22,6,2,2023,6,Sunday,22,155,True,,False,False,,Summer,3,2023,1
2023-06-05,5,23,6,2,2023,0,Monday,23,156,False,,False,False,,Summer,3,2023,1
2023-06-06,6,23,6,2,2023,1,Tuesday,23,157,False,,False,False,,Summer,3,2023,1
2023-06-07,7,23,6,2,2023,2,Wednesday,23,158,False,,False,False,,Summer,3,2023,1
2023-06-08,8,23,6,2,2023,3,Thursday,23,159,False,,False,False,,Summer,3,2023,1
2023-06-09,9,23,6,2,2023,4,Friday,23,160,False,,False,False,,Summer,3,2023,1
2023-06-10,10,23,6,2,2023,5,Saturday,23,161,True,,False,False,,Summer,3,2023,1
2023-06-11,11,23,6,2,2023,6,Sunday,23,162,True,,False,False,,Summer,3,2023,1
2023-06-12,12,24,6,2,2023,0,Monday,24,163,False,,False,False,,Summer,3,2023,1
2023-06-13,13,24,6,2,2023,1,Tuesday,24,164,False,,False,False,,Summer,3,2023,1
2023-06-14,14,24,6,2,2023,2,Wednesday,24,165,False,,False,False,,Summer,3,2023,1
2023-06-15,15,24,6,2,2023,3,Thursday,24,166,False,,False,False,,Summer,3,2023,1
2023-06-16,16,24,6,2,2023,4,Friday,24,167,False,,False,False,,Summer,3,2023,1
2023-06-17,17,24,6,2,2023,5,Saturday,24,168,True,,False,False,,Summer,3,2023,1
2023-06-18,18,24,6,2,2023,6,Sunday,24,169,True,,False,False,,Summer,3,2023,1
2023-06-19,19,25,6,2,2023,0,Monday,25,170,False,,False,False,,Summer,3,2023,1
2023-06-20,20,25,6,2,2023,1,Tuesday,25,171,False,,False,False,,Summer,3,2023,1
2023-06-21,21,25,6,2,2023,2,Wednesday,25,172,False,,False,False,,Summer,3,2023,1
2023-06-22,22,25,6,2,2023,3,Thursday,25,173,False,,False,False,,Summer,3,2023,1
2023-06-23,23,25,6,2,2023,4,Friday,25,174,False,,False,False,,Summer,3,2023,1
2023-06-24,24,25,6,2,2023,5,Saturday,25,175,True,,False,False,,Summer,3,2023,1
2023-06-25,25,25,6,2,2023,6,Sunday,25,176,True,,False,False,,Summer,3,2023,1
2023-06-26,26,26,6,2,2023,0,Monday,26,177,False,,False,False,,Summer,3,2023,1
2023-06-27,27,26,6,2,2023,1,Tuesday,26,178,False,,False,False,,Summer,3,2023,1
2023-06-28,28,26,6,2,2023,2,Wednesday,26,179,False,,False,False,,Summer,3,2023,1
2023-06-29,29,26,6,2,2023,3,Thursday,26,180,False,,False,False,,Summer,3,2023,1
2023-06-30,30,26,6,2,2023,4,Friday,26,181,False,,False,False,,Summer,3,2023,1
2023-07-01,1,26,7,3,2023,5,Saturday,26,182,True,,False,False,,Monsoon,4,2023,2
2023-07-02,2,26,7,3,2023,6,Sunday,26,183,True,,False,False,,Monsoon,4,2023,2
2023-07-03,3,27,7,3,2023,0,Monday,27,184,False,,False,False,,Monsoon,4,2023,2
2023-07-04,4,27,7,3,2023,1,Tuesday,27,185,False,,False,False,,Monsoon,4,2023,2
2023-07-05,5,27,7,3,2023,2,Wednesday,27,186,False,,False,False,,Monsoon,4,2023,2
2023-07-06,6,27,7,3,2023,3,Thursday,27,187,False,,False,False,,Monsoon,4,2023,2
2023-07-07,7,27,7,3,2023,4,Friday,27,188,False,,False,False,,Monsoon,4,2023,2
2023-07-08,8,27,7,3,2023,5,Saturday,27,189,True,,False,False,,Monsoon,4,2023,2
2023-07-09,9,27,7,3,2023,6,Sunday,27,190,True,,False,False,,Monsoon,4,2023,2
2023-07-10,10,28,7,3,2023,0,Monday,28,191,False,,False,False,,Monsoon,4,2023,2
2023-07-11,11,28,7,3,2023,1,Tuesday,28,192,False,,False,False,,Monsoon,4,2023,2
2023-07-12,12,28,7,3,2023,2,Wednesday,28,193,False,,False,False,,Monsoon,4,2023,2
2023-07-13,13,28,7,3,2023,3,Thursday,28,194,False,,False,False,,Monsoon,4,2023,2
2023-07-14,14,28,7,3,2023,4,Friday,28,195,False,,False,False,,Monsoon,4,2023,2
2023-07-15,15,28,7,3,2023,5,Saturday,28,196,True,,False,False,,Monsoon,4,2023,2
2023-07-16,16,28,7,3,2023,6,Sunday,28,197,True,,False,False,,Monsoon,4,2023,2
2023-07-17,17,29,7,3,2023,0,Monday,29,198,False,,False,False,,Monsoon,4,2023,2
2023-07-18,18,29,7,3,2023,1,Tuesday,29,199,False,,False,False,,Monsoon,4,2023,2
2023-07-19,19,29,7,3,2023,2,Wednesday,29,200,False,,False,False,,Monsoon,4,2023,2
2023-07-20,20,29,7,3,2023,3,Thursday,29,201,False,,False,False,,Monsoon,4,2023,2
2023-07-21,21,29,7,3,2023,4,Friday,29,202,False,,False,False,,Monsoon,4,2023,2
2023-07-22,22,29,7,3,2023,5,Saturday,29,203,True,,False,False,,Monsoon,4,2023,2
2023-07-23,23,29,7,3,2023,6,Sunday,29,204,True,,False,False,,Monsoon,4,2023,2
2023-07-24,24,30,7,3,2023,0,Monday,30,205,False,,False,False,,Monsoon,4,2023,2
2023-07-25,25,30,7,3,2023,1,Tuesday,30,206,False,,False,False,,Monsoon,4,2023,2
2023-07-26,26,30,7,3,2023,2,Wednesday,30,207,False,,False,False,,Monsoon,4,2023,2
2023-07-27,27,30,7,3,2023,3,Thursday,30,208,False,,False,False,,Monsoon,4,2023,2
2023-07-28,28,30,7,3,2023,4,Friday,30,209,False,,False,False,,Monsoon,4,2023,2
2023-07-29,29,30,7,3,2023,5,Saturday,30,210,True,,False,False,,Monsoon,4,2023,2
2023-07-30,30,30,7,3,2023,6,Sunday,30,211,True,,False,False,,Monsoon,4,2023,2
2023-07-31,31,31,7,3,2023,0,Monday,31,212,False,,False,False,,Monsoon,4,2023,2
2023-08-01,1,31,8,3,2023,1,Tuesday,31,213,False,,False,False,,Monsoon,5,2023,2
2023-08-02,2,31,8,3,2023,2,Wednesday,31,214,False,,False,False,,Monsoon,5,2023,2
2023-08-03,3,31,8,3,2023,3,Thursday,31,215,False,,False,False,,Monsoon,5,2023,2
2023-08-04,4,31,8,3,2023,4,Friday,31,216,False,,False,False,,Monsoon,5,2023,2
2023-08-05,5,31,8,3,2023,5,Saturday,31,217,True,,False,False,,Monsoon,5,2023,2
2023-08-06,6,31,8,3,2023,6,Sunday,31,218,True,,False,False,,Monsoon,5,2023,2
2023-08-07,7,32,8,3,2023,0,Monday,32,219,False,,False,False,,Monsoon,5,2023,2
2023-08-08,8,32,8,3,2023,1,Tuesday,32,220,False,,False,False,,Monsoon,5,2023,2
2023-08-09,9,32,8,3,2023,2,Wednesday,32,221,False,,False,False,,Monsoon,5,2023,2
2023-08-10,10,32,8,3,2023,3,Thursday,32,222,False,,False,False,,Monsoon,5,2023,2
2023-08-11,11,32,8,3,2023,4,Friday,32,223,False,,False,False,,Monsoon,5,2023,2
2023-08-12,12,32,8,3,2023,5,Saturday,32,224,True,,False,False,,Monsoon,5,2023,2
2023-08-13,13,32,8,3,2023,6,Sunday,32,225,True,,False,False,,Monsoon,5,2023,2
2023-08-14,14,33,8,3,2023,0,Monday,33,226,False,,False,False,,Monsoon,5,2023,2
2023-08-15,15,33,8,3,2023,1,Tuesday,33,227,False,Independence Day,True,False,,Monsoon,5,2023,2
2023-08-16,16,33,8,3,2023,2,Wednesday,33,228,False,,False,False,,Monsoon,5,2023,2
2023-08-17,17,33,8,3,2023,3,Thursday,33,229,False,,False,False,,Monsoon,5,2023,2
2023-08-18,18,33,8,3,2023,4,Friday,33,230,False,,False,False,,Monsoon,5,2023,2
2023-08-19,19,33,8,3,2023,5,Saturday,33,231,True,,False,False,,Monsoon,5,2023,2
2023-08-20,20,33,8,3,2023,6,Sunday,33,232,True,,False,False,,Monsoon,5,2023,2
2023-08-21,21,34,8,3,2023,0,Monday,34,233,False,,False,False,,Monsoon,5,2023,2
2023-08-22,22,34,8,3,2023,1,Tuesday,34,234,False,,False,False,,Monsoon,5,2023,2
2023-08-23,23,34,8,3,2023,2,Wednesday,34,235,False,,False,False,,Monsoon,5,2023,2
2023-08-24,24,34,8,3,2023,3,Thursday,34,236,False,,False,False,,Monsoon,5,2023,2
2023-08-25,25,34,8,3,2023,4,Friday,34,237,False,,False,True,Raksha Bandhan,Monsoon,5,2023,2
2023-08-26,26,34,8,3,2023,5,Saturday,34,238,True,,False,True,Raksha Bandhan,Monsoon,5,2023,2
2023-08-27,27,34,8,3,2023,6,Sunday,34,239,True,,False,True,Raksha Bandhan,Monsoon,5,2023,2
2023-08-28,28,35,8,3,2023,0,Monday,35,240,False,,False,True,Raksha Bandhan,Monsoon,5,2023,2
2023-08-29,29,35,8,3,2023,1,Tuesday,35,241,False,,False,True,Raksha Bandhan,Monsoon,5,2023,2
2023-08-30,30,35,8,3,2023,2,Wednesday,35,242,False,,False,True,Raksha Bandhan,Monsoon,5,2023,2
2023-08-31,31,35,8,3,2023,3,Thursday,35,243,False,,False,True,Raksha Bandhan,Monsoon,5,2023,2
2023-09-01,1,35,9,3,2023,4,Friday,35,244,False,,False,False,,Monsoon,6,2023,2
2023-09-02,2,35,9,3,2023,5,Saturday,35,245,True,,False,False,,Monsoon,6,2023,2
2023-09-03,3,35,9,3,2023,6,Sunday,35,246,True,,False,False,,Monsoon,6,2023,2
2023-09-04,4,36,9,3,2023,0,Monday,36,247,False,,False,False,,Monsoon,6,2023,2
2023-09-05,5,36,9,3,2023,1,Tuesday,36,248,False,,False,False,,Monsoon,6,2023,2
2023-09-06,6,36,9,3,2023,2,Wednesday,36,249,False,,False,False,,Monsoon,6,2023,2
2023-09-07,7,36,9,3,2023,3,Thursday,36,250,False,,False,False,,Monsoon,6,2023,2
2023-09-08,8,36,9,3,2023,4,Friday,36,251,False,,False,False,,Monsoon,6,2023,2
2023-09-09,9,36,9,3,2023,5,Saturday,36,252,True,,False,False,,Monsoon,6,2023,2
2023-09-10,10,36,9,3,2023,6,Sunday,36,253,True,,False,False,,Monsoon,6,2023,2
2023-09-11,11,37,9,3,2023,0,Monday,37,254,False,,False,False,,Monsoon,6,2023,2
2023-09-12,12,37,9,3,2023,1,Tuesday,37,255,False,,False,False,,Monsoon,6,2023,2
2023-09-13,13,37,9,3,2023,2,Wednesday,37,256,False,,False,True,Ganesh Chaturthi,Monsoon,6,2023,2
2023-09-14,14,37,9,3,2023,3,Thursday,37,257,False,,False,True,Ganesh Chaturthi,Monsoon,6,2023,2
2023-09-15,15,37,9,3,2023,4,Friday,37,258,False,,False,True,Ganesh Chaturthi,Monsoon,6,2023,2
2023-09-16,16,37,9,3,2023,5,Saturday,37,259,True,,False,True,Ganesh Chaturthi,Monsoon,6,2023,2
2023-09-17,17,37,9,3,2023,6,Sunday,37,260,True,,False,True,Ganesh Chaturthi,Monsoon,6,2023,2
2023-09-18,18,38,9,3,2023,0,Monday,38,261,False,,False,True,Ganesh Chaturthi,Monsoon,6,2023,2
2023-09-19,19,38,9,3,2023,1,Tuesday,38,262,False,,False,True,Ganesh Chaturthi,Monsoon,6,2023,2
2023-09-20,20,38,9,3,2023,2,Wednesday,38,263,False,,False,False,,Monsoon,6,2023,2
2023-09-21,21,38,9,3,2023,3,Thursday,38,264,False,,False,False,,Monsoon,6,2023,2
2023-09-22,22,38,9,3,2023,4,Friday,38,265,False,,False,False,,Monsoon,6,2023,2
2023-09-23,23,38,9,3,2023,5,Saturday,38,266,True,,False,False,,Monsoon,6,2023,2
2023-09-24,24,38,9,3,2023,6,Sunday,38,267,True,,False,False,,Monsoon,6,2023,2
2023-09-25,25,39,9,3,2023,0,Monday,39,268,False,,False,False,,Monsoon,6,2023,2
2023-09-26,26,39,9,3,2023,1,Tuesday,39,269,False,,False,False,,Monsoon,6,2023,2
2023-09-27,27,39,9,3,2023,2,Wednesday,39,270,False,,False,False,,Monsoon,6,2023,2
2023-09-28,28,39,9,3,2023,3,Thursday,39,271,False,,False,False,,Monsoon,6,2023,2
2023-09-29,29,39,9,3,2023,4,Friday,39,272,False,,False,False,,Monsoon,6,2023,2
2023-09-30,30,39,9,3,2023,5,Saturday,39,273,True,,False,False,,Monsoon,6,2023,2
2023-10-01,1,39,10,4,2023,6,Sunday,39,274,True,,False,False,,Autumn,7,2023,3
2023-10-02,2,40,10,4,2023,0,Monday,40,275,False,Gandhi Jayanti,True,False,,Autumn,7,2023,3
2023-10-03,3,40,10,4,2023,1,Tuesday,40,276,False,,False,False,,Autumn,7,2023,3
2023-10-04,4,40,10,4,2023,2,Wednesday,40,277,False,,False,False,,Autumn,7,2023,3
2023-10-05,5,40,10,4,2023,3,Thursday,40,278,False,,False,False,,Autumn,7,2023,3
