trade_promo_id,retailer,product_id,region,start_date,end_date,planned_spend,actual_spend,expected_uplift,actual_uplift,margin,roi
TP000027,Metro Retail,P00085,North,2024-12-05,2024-12-16,1024177.15,1028386.24,0.4188,0.4419,0.4566,1.2
TP000028,Metro Retail,P00223,East,2023-10-31,2023-11-12,513132.63,436439.13,0.3783,0.3149,0.3379,0.3987
TP000029,GreenGrocer,P00110,West,2025-10-30,2025-11-12,1232084.29,1257296.84,0.4824,0.3193,0.4368,0.2884
TP000030,GreenGrocer,P00202,East,2025-12-07,2025-12-12,1051730.82,1084125.86,0.46,0.3814,0.2768,0.2825
TP000031,UrbanKart,P00036,West,2023-07-06,2023-07-19,1404064.88,1682439.82,0.3034,0.3332,0.3075,0.2597
TP000032,UrbanKart,P00108,East,2024-01-03,2024-01-08,1669346.67,1756597.75,0.3336,0.363,0.5084,0.5709
TP000033,Metro Retail,P00058,North,2024-06-25,2024-07-13,1431149.56,1280849.42,0.3809,0.2839,0.3389,0.5539
TP000034,Metro Retail,P00033,South,2023-12-11,2023-12-26,269227.0,310083.66,0.1124,0.1423,0.3282,0.2206
TP000035,UrbanKart,P00127,South,2025-02-20,2025-03-10,247677.93,265521.25,0.2507,0.3437,0.3689,0.5603
TP000036,GreenGrocer,P00215,Central,2023-01-01,2023-01-15,1155828.76,1446503.73,0.2424,0.3432,0.2837,0.2473
TP000037,FreshMart,P00086,South,2024-02-22,2024-03-02,270311.54,197965.33,0.245,0.2524,0.3316,0.2532
TP000038,FreshMart,P00062,East,2023-03-11,2023-03-25,581669.39,682967.82,0.1798,0.2786,0.3749,0.2712
TP000039,GreenGrocer,P00154,East,2025-07-14,2025-07-22,666945.84,687903.56,0.2494,0.2542,0.3306,0.4069
TP000040,QuickShop,P00131,West,2024-02-13,2024-02-19,291492.88,347811.27,0.3837,0.2214,0.465,0.2143
TP000041,ValueBazaar,P00109,South,2024-04-16,2024-04-20,1194045.94,1294763.09,0.4784,0.7857,0.3789,0.8967
TP000042,GreenGrocer,P00030,South,2025-01-11,2025-01-29,1593903.74,1493380.01,0.3755,0.1083,0.3026,0.1355
TP000043,QuickShop,P00098,West,2025-11-17,2025-12-05,1078124.81,901440.61,0.0918,0.0472,0.3954,0.0992
TP000044,ValueBazaar,P00049,South,2024-03-13,2024-03-25,1791489.87,1834774.1,0.3529,0.439,0.3015,0.6117
TP000045,Metro Retail,P00068,East,2023-12-11,2023-12-19,208162.14,186877.91,0.152,0.06,0.4678,0.0948
TP000046,GreenGrocer,P00256,South,2023-01-12,2023-01-19,446693.31,594118.49,0.1199,0.1354,0.313,0.1336
TP000047,GreenGrocer,P00199,South,2023-08-15,2023-08-28,570045.84,617825.33,0.2148,0.2096,0.2432,0.1689
TP000048,FreshMart,P00099,North,2023-04-02,2023-04-13,1446144.36,1325442.93,0.3902,0.5981,0.4456,1.7112
TP000049,GreenGrocer,P00129,West,2025-10-24,2025-11-12,929747.66,1138420.98,0.092,0.0361,0.4247,0.0536
TP000050,UrbanKart,P00110,Central,2025-11-15,2025-11-29,1458258.81,1552645.67,0.2996,0.386,0.4368,0.6471
TP000051,UrbanKart,P00259,North,2024-05-09,2024-05-29,1088538.58,1147248.04,0.3354,0.4593,0.3184,0.4669
TP000052,Metro Retail,P00269,North,2024-12-13,2024-12-23,1735628.63,1802957.45,0.3301,0.4163,0.1839,0.4183
TP000053,FreshMart,P00084,North,2023-09-18,2023-10-01,1631398.48,2027964.23,0.2238,0.2909,0.3662,0.5082
TP000054,FreshMart,P00294,North,2025-08-18,2025-08-28,638899.71,610270.3,0.1866,0.1825,0.5529,0.2936
TP000055,FreshMart,P00174,West,2024-05-18,2024-06-06,552549.45,503217.76,0.2382,0.3033,0.4497,0.5702
TP000056,ValueBazaar,P00124,South,2025-07-03,2025-07-11,1743872.41,1804359.4,0.1706,0.254,0.5086,0.3616
TP000057,UrbanKart,P00137,Central,2023-04-21,2023-05-04,1032323.15,1051570.27,0.3357,0.3555,0.3979,0.3988
TP000058,ValueBazaar,P00101,East,2025-01-06,2025-01-15,1447742.75,1479695.52,0.55,1.1478,0.3645,0.9343
TP000059,UrbanKart,P00049,North,2023-11-05,2023-11-16,1257823.87,1470070.96,0.496,0.45,0.3015,0.2811
TP000060,QuickShop,P00013,South,2024-05-05,2024-05-12,650030.8,533231.57,0.3649,0.3322,0.3132,0.2745
TP000061,UrbanKart,P00091,North,2023-08-04,2023-08-11,1735027.44,1702551.64,0.1214,0.176,0.3162,0.1784
TP000062,FreshMart,P00231,South,2025-06-02,2025-06-13,1787477.67,1826893.24,0.3115,0.5752,0.3597,0.6091
TP000063,UrbanKart,P00011,North,2023-06-18,2023-07-05,1067085.73,1046427.93,0.1039,0.1767,0.3462,0.233
TP000064,QuickShop,P00175,West,2025-05-10,2025-05-19,965604.47,1134058.67,0.3202,0.0995,0.3664,0.0687
TP000065,Metro Retail,P00146,South,2025-11-11,2025-11-19,1404319.43,1143398.39,0.2701,0.0534,0.5329,0.1183
TP000066,ValueBazaar,P00022,Central,2025-05-12,2025-05-18,713686.82,905436.37,0.3982,0.5602,0.4126,0.695
TP000067,UrbanKart,P00016,North,2023-05-06,2023-05-19,1801948.85,1994286.42,0.235,0.3137,0.4241,0.5508
TP000068,ValueBazaar,P00200,South,2024-10-31,2024-11-15,755067.69,621837.15,0.2751,0.2195,0.3096,0.1737
TP000069,GreenGrocer,P00237,South,2024-04-27,2024-05-01,1126289.87,1206118.05,0.1987,0.2092,0.2357,0.2376
TP000070,GreenGrocer,P00245,South,2025-09-11,2025-09-27,694206.91,726871.38,0.3293,0.2277,0.2252,0.233
TP000071,GreenGrocer,P00216,South,2025-11-19,2025-12-09,273630.69,277885.3,0.1576,0.1794,0.3156,0.2527
TP000072,Metro Retail,P00228,West,2024-08-02,2024-08-14,1373855.8,1441254.13,0.1348,0.1167,0.3658,0.1942
TP000073,ValueBazaar,P00155,North,2023-06-13,2023-06-30,774475.44,982755.04,0.0811,0.0885,0.4007,0.1219
TP000074,QuickShop,P00298,South,2024-06-07,2024-06-18,1593161.54,1791191.05,0.3837,0.3616,0.606,0.9366
TP000075,GreenGrocer,P00109,South,2023-10-20,2023-10-29,1335133.22,1462940.44,0.4105,0.5184,0.3789,0.5464
TP000076,FreshMart,P00212,North,2025-07-06,2025-07-20,954934.16,861461.16,0.0749,0.0872,0.3755,0.1731
TP000077,UrbanKart,P00013,East,2023-08-12,2023-08-31,509192.24,507171.26,0.1218,0.0722,0.3132,0.1128
TP000078,Metro Retail,P00153,South,2025-07-14,2025-07-28,288528.89,223090.47,0.2496,0.1816,0.3331,0.3756
TP000079,FreshMart,P00064,East,2023-03-13,2023-03-17,1285103.89,1328282.35,0.0528,0.0409,0.4634,0.0937
TP000080,UrbanKart,P00057,East,2025-07-10,2025-07-28,1199137.94,1585916.0,0.2015,0.3502,0.3993,0.4736
TP000081,ValueBazaar,P00231,East,2025-07-16,2025-07-31,1896992.94,1534747.2,0.1348,0.1319,0.3597,0.2145
TP000082,ValueBazaar,P00095,West,2023-08-18,2023-08-26,1411273.34,1341499.85,0.3552,0.3071,0.3958,0.4583
TP000083,ValueBazaar,P00078,South,2025-01-31,2025-02-04,951343.73,793038.46,0.3518,0.3108,0.3415,0.5862
TP000084,GreenGrocer,P00179,Central,2024-02-26,2024-03-14,1251508.76,1159853.1,0.1781,0.1828,0.355,0.2451
TP000085,FreshMart,P00002,West,2024-06-09,2024-06-27,591100.39,533448.82,0.0919,0.0847,0.2937,0.0822
TP000086,ValueBazaar,P00053,West,2024-04-01,2024-04-21,2287882.59,2377790.63,0.3651,0.3541,0.359,0.6398
TP000087,GreenGrocer,P00248,South,2024-01-30,2024-02-11,406646.5,465687.13,0.0944,0.0916,0.2587,0.0594
TP000088,ValueBazaar,P00036,West,2025-07-09,2025-07-28,1266576.39,1191542.87,0.4376,0.2158,0.3075,0.3524
TP000089,ValueBazaar,P00074,East,2024-03-24,2024-03-31,1433605.1,1545547.57,0.2008,0.2315,0.3642,0.3504
TP000090,Metro Retail,P00181,South,2025-09-10,2025-09-26,516288.85,410711.39,0.2883,0.1667,0.4823,0.4791
TP000091,Metro Retail,P00121,Central,2024-12-29,2025-01-12,1053882.37,976788.64,0.0911,0.0741,0.471,0.0819
TP000092,UrbanKart,P00021,Central,2025-02-01,2025-02-05,1833456.39,1525891.56,0.454,0.5531,0.3948,0.5481
TP000093,GreenGrocer,P00043,East,2023-07-13,2023-07-24,1859790.73,1869904.48,0.127,0.1234,0.3136,0.1029
TP000094,GreenGrocer,P00127,West,2024-05-14,2024-06-03,2206538.1,2044447.21,0.3043,0.2576,0.3689,0.5085
TP000095,GreenGrocer,P00277,West,2024-07-31,2024-08-16,216828.58,238922.51,0.41,0.3205,0.5743,0.6143
TP000096,GreenGrocer,P00006,West,2025-11-01,2025-11-19,521897.44,685229.73,0.3702,0.2466,0.3162,0.2635
TP000097,ValueBazaar,P00269,North,2023-02-18,2023-03-05,1944448.58,1992386.91,0.1997,0.1715,0.1839,0.1051
TP000098,Metro Retail,P00022,North,2024-06-18,2024-06-27,1540969.04,2278403.93,0.1595,0.0751,0.4126,0.1174
TP000099,FreshMart,P00152,North,2025-09-22,2025-10-01,758693.35,746735.01,0.142,0.2112,0.3632,0.4386
TP000100,Metro Retail,P00210,East,2024-05-30,2024-06-11,267580.12,343040.96,0.2832,0.1496,0.3237,0.165
TP000101,QuickShop,P00175,East,2025-04-08,2025-04-20,294090.11,329992.08,0.1904,0.2781,0.3664,0.4969
TP000102,FreshMart,P00199,South,2024-03-24,2024-04-01,753633.63,827489.11,0.4285,0.6961,0.2432,0.3274
TP000103,GreenGrocer,P00070,South,2023-05-28,2023-06-17,192718.25,251745.34,0.3177,0.3194,0.4003,0.4755
TP000104,GreenGrocer,P00024,South,2024-04-23,2024-05-06,550673.34,583784.82,0.254,0.2045,0.438,0.3007
TP000105,QuickShop,P00029,South,2023-02-02,2023-02-19,768829.54,866663.37,0.4315,0.47,0.3766,0.8866
TP000106,Metro Retail,P00128,Central,2025-05-05,2025-05-16,450128.73,330010.14,0.0832,0.0697,0.4637,0.136
TP000107,FreshMart,P00164,South,2024-02-29,2024-03-11,1274117.87,1101039.19,0.3869,0.4711,0.4232,0.7145
TP000108,QuickShop,P00226,West,2024-10-08,2024-10-16,2373789.17,2430744.35,0.3795,0.3033,0.2552,0.2109
TP000109,ValueBazaar,P00194,South,2025-08-06,2025-08-22,749465.4,1016475.49,0.2843,0.2339,0.3082,0.2585
TP000110,UrbanKart,P00079,North,2025-04-07,2025-04-14,377260.38,480329.52,0.4605,0.4816,0.4137,0.5975
TP000111,UrbanKart,P00153,West,2025-06-23,2025-06-27,606767.81,567565.65,0.315,0.1478,0.3331,0.2807
TP000112,QuickShop,P00236,South,2025-02-03,2025-02-16,791360.42,874225.95,0.2781,0.4786,0.2774,0.3945
TP000113,UrbanKart,P00042,East,2025-11-09,2025-11-21,1935495.61,2289403.49,0.1277,0.1085,0.387,0.0752
TP000114,QuickShop,P00257,West,2024-08-02,2024-08-15,506137.72,388548.1,0.0979,0.0956,0.2024,0.1293
TP000115,FreshMart,P00207,North,2024-03-14,2024-03-24,962495.99,950271.62,0.3964,0.5903,0.3064,0.5935
TP000116,ValueBazaar,P00290,West,2024-09-21,2024-09-27,2389140.01,2179890.66,0.0755,0.0706,0.4677,0.1683
TP000117,FreshMart,P00172,South,2025-09-02,2025-09-15,854869.21,761260.82,0.3681,0.366,0.3858,0.4888
TP000118,ValueBazaar,P00143,West,2023-06-01,2023-06-21,1100480.86,1098932.87,0.4374,0.672,0.405,1.3492
TP000119,Metro Retail,P00260,Central,2024-06-01,2024-06-15,1895155.31,1981853.83,0.1729,0.1811,0.3124,0.3225
TP000120,UrbanKart,P00222,East,2024-09-07,2024-09-26,1601116.5,1640639.91,0.5341,0.7332,0.3434,0.8336
TP000121,GreenGrocer,P00236,North,2023-08-25,2023-09-06,608672.8,545566.53,0.1556,0.0549,0.2774,0.0415
TP000122,QuickShop,P00110,South,2023-08-22,2023-09-02,922297.89,946006.87,0.1082,0.1138,0.4368,0.1794
TP000123,FreshMart,P00017,North,2024-07-09,2024-07-15,1364450.05,1434860.56,0.4355,0.455,0.2866,0.2489
TP000124,ValueBazaar,P00144,South,2024-10-26,2024-11-08,775622.08,921817.42,0.1831,0.2488,0.5031,0.2732
TP000125,UrbanKart,P00298,North,2024-06-02,2024-06-14,233692.76,275907.55,0.2742,0.2858,0.606,0.3052
TP000126,UrbanKart,P00245,North,2024-11-12,2024-11-16,1113123.52,1216160.6,0.2301,0.2967,0.2252,0.2703
TP000127,UrbanKart,P00280,Central,2023-03-21,2023-03-26,559246.73,415497.1,0.3308,0.4484,0.5278,1.3897
TP000128,ValueBazaar,P00165,South,2025-03-25,2025-04-09,325939.69,287849.9,0.4549,0.3775,0.4778,0.4978
TP000129,QuickShop,P00242,West,2023-04-21,2023-05-05,678636.52,703958.33,0.4089,0.5859,0.3092,0.7977
TP000130,UrbanKart,P00014,Central,2023-04-27,2023-05-04,533191.16,582912.19,0.3723,0.4296,0.32,0.5574
TP000131,GreenGrocer,P00292,South,2024-02-11,2024-02-29,429164.72,487064.32,0.4311,0.1984,0.464,0.457
TP000132,FreshMart,P00282,Central,2023-01-24,2023-02-11,702179.85,767771.86,0.3179,0.4063,0.5366,1.1886
TP000133,GreenGrocer,P00269,North,2025-05-15,2025-05-19,660367.73,675971.87,0.258,0.3242,0.1839,0.1684
TP000134,FreshMart,P00103,North,2024-06-30,2024-07-15,1080804.42,1225183.53,0.4291,0.6752,0.3772,1.1511
TP000135,GreenGrocer,P00178,North,2024-07-11,2024-07-31,1122547.55,955983.91,0.1569,0.081,0.328,0.0882
TP000136,UrbanKart,P00251,North,2024-04-04,2024-04-14,270820.43,247158.23,0.0901,0.1078,0.3168,0.1865
TP000137,QuickShop,P00049,South,2024-10-20,2024-11-08,545113.01,561717.38,0.1939,0.1816,0.3015,0.2122
TP000138,UrbanKart,P00108,Central,2025-08-16,2025-08-28,1397494.84,1273684.63,0.3983,0.47,0.5084,0.8431
TP000139,ValueBazaar,P00082,South,2025-05-26,2025-06-02,1245759.6,1417886.75,0.1818,0.2371,0.4231,0.3437
TP000140,GreenGrocer,P00272,Central,2024-12-31,2025-01-07,2254100.64,2132798.68,0.2756,0.2995,0.5609,0.8928
TP000141,QuickShop,P00049,South,2023-08-28,2023-09-12,456802.62,482114.44,0.4462,0.4332,0.3015,0.4749
TP000142,GreenGrocer,P00118,East,2024-09-30,2024-10-05,1743198.75,1976088.69,0.3034,0.2286,0.4285,0.3202
TP000143,Metro Retail,P00237,South,2025-06-22,2025-06-27,1043881.49,828404.08,0.1388,0.1321,0.2357,0.0944
TP000144,UrbanKart,P00300,South,2025-08-18,2025-08-26,2165135.61,2558277.71,0.3526,0.2941,0.5025,0.6759
TP000145,GreenGrocer,P00157,Central,2024-05-05,2024-05-10,341080.17,386270.42,0.3963,0.3788,0.4047,0.6795
TP000146,UrbanKart,P00158,South,2025-05-13,2025-05-31,2206220.56,2410675.76,0.0765,0.0189,0.4049,0.0165
TP000147,QuickShop,P00116,West,2025-01-14,2025-01-22,868277.38,733101.15,0.332,0.4024,0.4644,0.7265
TP000148,ValueBazaar,P00194,South,2025-09-23,2025-10-06,1096099.23,1356762.68,0.25,0.1677,0.3082,0.1958
TP000149,UrbanKart,P00022,Central,2025-08-03,2025-08-12,1070041.65,879408.77,0.1439,0.079,0.4126,0.2045
TP000150,QuickShop,P00274,West,2023-07-23,2023-08-05,442526.85,410767.65,0.353,0.237,0.5753,0.4336
TP000151,Metro Retail,P00075,South,2025-11-15,2025-12-01,2131744.56,1861346.04,0.2379,0.1352,0.4516,0.347
TP000152,UrbanKart,P00093,Central,2025-11-17,2025-11-24,1187295.81,1418286.39,0.195,0.2466,0.3191,0.3538
TP000153,ValueBazaar,P00256,West,2025-03-15,2025-04-03,1352136.56,1396350.86,0.3736,0.5105,0.313,0.4083
TP000154,QuickShop,P00108,South,2023-08-22,2023-08-31,837291.76,893927.18,0.2896,0.3627,0.5084,0.7418
TP000155,FreshMart,P00209,South,2025-04-24,2025-05-14,890463.25,943026.82,0.3377,0.5492,0.2567,0.3478
TP000156,ValueBazaar,P00066,North,2024-05-17,2024-05-24,130173.88,144155.12,0.2298,0.2296,0.3242,0.3002
TP000157,Metro Retail,P00036,West,2025-10-15,2025-10-29,1560129.11,2155563.39,0.1159,0.0942,0.3075,0.0783
TP000158,GreenGrocer,P00188,East,2024-03-30,2024-04-10,972307.75,904013.55,0.4625,0.2807,0.3338,0.4417
TP000159,FreshMart,P00181,South,2025-07-23,2025-08-02,165624.55,193064.82,0.2636,0.4655,0.4823,0.7503
TP000160,FreshMart,P00122,South,2023-09-02,2023-09-12,1457854.29,1084439.71,0.1602,0.224,0.5068,0.6274
TP000161,UrbanKart,P00192,West,2023-08-24,2023-09-13,2171481.0,2284739.91,0.1213,0.0615,0.3015,0.0717
TP000162,QuickShop,P00086,South,2024-05-18,2024-06-02,1650604.67,2297189.31,0.1599,0.2351,0.3316,0.2907
TP000163,UrbanKart,P00220,South,2025-07-28,2025-08-02,233830.81,270451.52,0.2653,0.229,0.2495,0.1342
TP000164,UrbanKart,P00130,West,2025-06-11,2025-06-22,1778414.04,2159328.65,0.4444,0.3346,0.4944,0.3301
TP000165,GreenGrocer,P00210,South,2025-08-12,2025-08-29,1709505.62,2030126.14,0.1317,0.1369,0.3237,0.149
TP000166,UrbanKart,P00052,South,2025-01-14,2025-02-03,1318151.49,1555023.79,0.2183,0.1782,0.294,0.2215
TP000167,Metro Retail,P00105,West,2024-10-30,2024-11-07,1223096.3,1148606.16,0.0931,0.1091,0.4467,0.2415
TP000168,FreshMart,P00167,Central,2024-02-21,2024-03-04,2298671.05,2474104.16,0.3065,0.4999,0.4023,0.7976
TP000169,FreshMart,P00281,East,2024-06-13,2024-06-18,488377.67,504282.62,0.1796,0.1789,0.4751,0.2
TP000170,FreshMart,P00068,South,2024-08-27,2024-08-31,1737507.41,1852340.96,0.2571,0.3239,0.4678,0.5137
TP000171,Metro Retail,P00005,East,2023-09-22,2023-10-04,1424672.41,1748389.05,0.3232,0.2658,0.4097,0.253
TP000172,FreshMart,P00048,North,2025-06-09,2025-06-18,1170331.63,926363.08,0.4408,0.7988,0.4187,2.4015
TP000173,UrbanKart,P00121,West,2023-04-09,2023-04-16,428663.15,314790.83,0.2933,0.2068,0.471,0.6346
TP000174,QuickShop,P00061,South,2023-01-01,2023-01-19,212119.85,272583.89,0.0847,0.0854,0.3458,0.0498
TP000175,ValueBazaar,P00021,West,2025-02-10,2025-02-24,778789.19,784463.36,0.3425,0.2263,0.3948,0.5233
TP000176,Metro Retail,P00289,East,2025-07-16,2025-07-25,394876.24,412308.08,0.3403,0.3208,0.4335,0.7798
TP000177,ValueBazaar,P00294,South,2024-04-04,2024-04-13,1752510.87,1849899.62,0.5529,0.576,0.5529,0.8059
TP000178,GreenGrocer,P00173,South,2023-01-20,2023-02-04,731155.75,854482.75,0.4482,0.6161,0.4667,0.5817
TP000179,GreenGrocer,P00161,South,2025-09-22,2025-10-03,1639707.26,1615790.57,0.5383,0.3962,0.4119,0.8838
TP000180,QuickShop,P00177,South,2023-03-31,2023-04-17,502967.72,403705.6,0.5322,0.472,0.4616,1.3613
TP000181,FreshMart,P00070,North,2023-04-12,2023-05-01,348354.14,292676.76,0.3869,0.672,0.4003,1.1593
TP000182,QuickShop,P00200,North,2023-05-22,2023-05-29,1363813.62,1409579.24,0.2279,0.4335,0.3096,0.4383
TP000183,UrbanKart,P00073,Central,2025-12-15,2025-12-31,606224.87,658536.62,0.488,0.4993,0.4589,1.0891
TP000184,ValueBazaar,P00102,South,2023-11-11,2023-11-15,1708216.04,1450730.95,0.1344,0.0862,0.4055,0.2113
TP000185,GreenGrocer,P00003,North,2024-07-03,2024-07-21,2057549.46,1836039.62,0.4224,0.3194,0.3526,0.5256
TP000186,QuickShop,P00191,East,2023-12-10,2023-12-18,387788.87,430745.12,0.1757,0.1757,0.376,0.2777
TP000187,FreshMart,P00287,East,2025-02-20,2025-03-06,1453125.73,1584883.63,0.2666,0.2902,0.6051,0.4917
TP000188,GreenGrocer,P00041,South,2024-09-22,2024-10-02,1360397.51,1450284.83,0.1488,0.1787,0.315,0.1525
TP000189,QuickShop,P00099,Central,2023-08-11,2023-08-15,701001.89,708435.97,0.4931,0.6412,0.4456,1.0019
TP000190,GreenGrocer,P00063,North,2024-03-01,2024-03-18,1705149.31,1762854.24,0.2713,0.2807,0.4116,0.3442
TP000191,ValueBazaar,P00067,South,2023-12-28,2024-01-04,526365.08,655242.2,0.2381,0.201,0.3722,0.3354
TP000192,QuickShop,P00296,West,2023-03-11,2023-03-20,1021271.41,1209316.1,0.2186,0.2002,0.4503,0.1822
TP000193,GreenGrocer,P00046,West,2023-10-03,2023-10-21,1900566.86,2001509.32,0.1386,0.0622,0.3636,0.0703
TP000194,GreenGrocer,P00079,South,2025-07-15,2025-07-30,1169737.62,1235260.05,0.4616,0.2455,0.4137,0.3315
TP000195,Metro Retail,P00190,East,2025-07-05,2025-07-09,1179366.39,1327784.63,0.4696,0.3943,0.2881,0.3795
TP000196,FreshMart,P00248,West,2025-07-12,2025-07-26,489155.91,551791.34,0.3494,0.3175,0.2587,0.4075
TP000197,ValueBazaar,P00027,North,2025-06-06,2025-06-17,1177939.21,1175690.84,0.1931,0.1697,0.3121,0.2187
TP000198,UrbanKart,P00137,South,2025-02-05,2025-02-12,146069.43,144114.63,0.3986,0.4294,0.3979,0.9685
TP000199,Metro Retail,P00137,Central,2025-04-20,2025-05-04,1765772.42,1484521.94,0.2779,0.2606,0.3979,0.338
TP000200,GreenGrocer,P00058,South,2024-03-21,2024-04-09,1175737.77,1041705.89,0.2235,0.1864,0.3389,0.3656
TP000201,UrbanKart,P00294,North,2025-06-16,2025-06-22,139153.12,152942.95,0.1992,0.2568,0.5529,0.6001
TP000202,QuickShop,P00036,West,2024-02-01,2024-02-10,131610.68,137709.51,0.0581,0.0543,0.3075,0.0727
TP000203,FreshMart,P00050,South,2025-08-18,2025-08-25,243475.5,203398.93,0.4292,0.671,0.3762,0.8304
TP000204,Metro Retail,P00068,Central,2023-10-10,2023-10-15,1199214.18,1229975.45,0.2822,0.3191,0.4678,0.6959
TP000205,GreenGrocer,P00271,South,2025-02-05,2025-02-22,1599245.34,1604873.18,0.0983,0.0733,0.5523,0.1537
TP000206,FreshMart,P00110,Central,2024-06-18,2024-07-08,643466.91,601657.82,0.3021,0.5099,0.4368,1.1576
TP000207,UrbanKart,P00089,North,2025-10-10,2025-10-20,1510331.69,1829834.88,0.3795,0.3667,0.3114,0.5643
TP000208,GreenGrocer,P00218,South,2023-11-05,2023-11-12,858171.25,880021.44,0.1997,0.1561,0.3118,0.1578
TP000209,Metro Retail,P00282,North,2025-12-06,2025-12-10,558854.8,537747.55,0.3777,0.5165,0.5366,0.7805
TP000210,GreenGrocer,P00169,West,2025-07-05,2025-07-17,1661314.73,1760270.93,0.2603,0.2633,0.4936,0.3719
TP000211,Metro Retail,P00195,North,2025-09-23,2025-10-05,1063113.36,1238983.42,0.1239,0.1338,0.3037,0.0883
TP000212,GreenGrocer,P00011,North,2025-02-27,2025-03-17,1034438.95,1098086.6,0.1975,0.1783,0.3462,0.2641
TP000213,ValueBazaar,P00133,South,2023-01-04,2023-01-13,1266660.55,1488228.13,0.3513,0.4258,0.5046,1.049
TP000214,Metro Retail,P00135,East,2025-05-24,2025-05-31,569410.9,561026.99,0.2048,0.1448,0.3795,0.3057
TP000215,Metro Retail,P00085,North,2024-12-17,2025-01-03,1339085.82,1241666.36,0.1424,0.1153,0.4566,0.3197
TP000216,UrbanKart,P00064,East,2023-12-08,2023-12-24,544648.9,571992.72,0.3883,0.2041,0.4634,0.3551
TP000217,GreenGrocer,P00197,East,2023-03-05,2023-03-14,1242048.75,1266979.36,0.3299,0.2017,0.2995,0.2987
TP000218,UrbanKart,P00097,North,2024-05-22,2024-06-01,306012.62,408832.98,0.095,0.0614,0.3534,0.0585
TP000219,Metro Retail,P00204,South,2024-09-03,2024-09-08,1477658.78,1399126.1,0.1733,0.1339,0.3399,0.2686
TP000220,FreshMart,P00182,West,2024-07-26,2024-08-03,1737340.79,1578322.55,0.4505,0.2489,0.4145,0.2864
