promotion_id,product_id,store_id,promotion_type,start_date,end_date,duration_days,discount_percentage,display_flag,bundle_flag,promotion_channel,region,promotion_units,promotion_spend
PR0000045,P00001,S00181,Coupon,2024-02-17,2024-03-05,18,28.29,False,False,In-store,West,1652,86485.52
PR0000046,P00001,S00181,Display,2024-03-30,2024-04-12,14,14.78,True,False,In-store,West,2251,91209.84
PR0000047,P00001,S00181,Display,2024-07-20,2024-07-28,9,14.34,True,False,In-store,West,665,95981.72
PR0000048,P00001,S00181,Loyalty Offer,2024-08-14,2024-08-21,8,26.31,False,False,Both,West,1113,101730.69
PR0000049,P00001,S00181,Price Discount,2024-09-08,2024-09-18,11,18.23,False,False,Both,West,686,160341.64
PR0000050,P00001,S00181,Buy One Get One,2024-10-04,2024-10-15,12,27.62,True,False,In-store,West,2087,159270.79
PR0000051,P00001,S00181,Loyalty Offer,2025-01-21,2025-02-04,15,19.38,False,False,Both,West,946,173104.39
PR0000052,P00001,S00181,Price Discount,2025-03-02,2025-03-15,14,13.71,False,False,Digital,West,1333,198431.3
PR0000053,P00001,S00181,Display,2025-04-17,2025-04-23,7,10.66,True,False,Digital,West,638,89027.68
PR0000054,P00001,S00181,Bundle,2025-06-05,2025-06-12,8,16.0,True,True,Both,West,708,34971.46
PR0000055,P00001,S00181,Price Discount,2025-06-25,2025-07-14,20,22.77,False,False,Both,West,1180,138292.03
PR0000056,P00001,S00181,Price Discount,2025-09-07,2025-09-27,21,18.4,False,False,Both,West,1207,110478.73
PR0000057,P00001,S00181,Price Discount,2025-10-27,2025-11-03,8,11.51,False,False,Digital,West,344,75038.68
PR0000058,P00001,S00059,Price Discount,2023-01-01,2023-01-15,15,38.49,False,False,In-store,North,444,173944.84
PR0000059,P00001,S00059,Price Discount,2023-05-16,2023-05-29,14,31.25,False,False,Both,North,454,190126.64
PR0000060,P00001,S00059,Price Discount,2023-08-05,2023-08-24,20,19.11,False,False,In-store,North,207,140444.49
PR0000061,P00001,S00059,Buy One Get One,2023-09-21,2023-10-06,16,13.89,False,False,In-store,North,163,163063.04
PR0000062,P00001,S00059,Display,2024-01-07,2024-01-26,20,28.48,True,False,In-store,North,274,146737.84
PR0000063,P00001,S00059,Display,2024-02-06,2024-02-20,15,19.77,True,False,In-store,North,237,95628.79
PR0000064,P00001,S00059,Bundle,2024-05-14,2024-05-20,7,5.69,True,True,In-store,North,93,132718.15
PR0000065,P00001,S00059,Price Discount,2024-05-26,2024-06-01,7,36.26,False,False,In-store,North,235,155851.49
PR0000066,P00001,S00059,Bundle,2024-06-03,2024-06-20,18,30.7,False,True,Both,North,438,213890.89
PR0000067,P00001,S00059,Display,2024-07-19,2024-08-04,17,29.0,True,False,In-store,North,197,131895.98
PR0000068,P00001,S00059,Price Discount,2024-08-25,2024-09-02,9,20.27,True,False,Both,North,128,219259.31
PR0000069,P00001,S00059,Coupon,2024-10-26,2024-11-02,8,38.95,False,False,Both,North,193,106220.56
PR0000070,P00001,S00059,Bundle,2024-12-13,2024-12-23,11,5.82,False,True,Both,North,72,38442.87
PR0000071,P00001,S00059,Price Discount,2025-03-17,2025-03-26,10,29.68,False,False,Digital,North,187,38028.68
PR0000072,P00001,S00059,Loyalty Offer,2025-06-10,2025-06-29,20,14.71,False,False,In-store,North,244,193027.17
PR0000073,P00001,S00059,Buy One Get One,2025-09-26,2025-10-16,21,18.99,False,False,In-store,North,211,157945.13
PR0000074,P00001,S00180,Display,2023-01-01,2023-01-15,15,6.26,True,False,Both,North,503,189261.99
PR0000075,P00001,S00180,Loyalty Offer,2023-06-07,2023-06-21,15,36.67,False,False,In-store,North,2097,60949.84
PR0000076,P00001,S00180,Coupon,2023-09-12,2023-09-17,6,31.14,False,False,Both,North,757,175031.47
PR0000077,P00001,S00180,Coupon,2023-10-22,2023-10-29,8,15.47,False,False,In-store,North,344,44443.75
PR0000078,P00001,S00180,Display,2024-04-26,2024-04-30,5,17.98,True,False,Digital,North,314,143246.02
PR0000079,P00001,S00180,Price Discount,2024-05-02,2024-05-09,8,28.49,False,False,In-store,North,362,24412.89
PR0000080,P00001,S00180,Coupon,2024-05-26,2024-06-05,11,6.28,False,False,Digital,North,349,55588.63
PR0000081,P00001,S00180,Bundle,2024-07-01,2024-07-11,11,6.31,False,True,Both,North,427,80428.18
PR0000082,P00001,S00180,Loyalty Offer,2024-07-12,2024-07-25,14,16.48,False,False,Both,North,659,153479.98
PR0000083,P00001,S00180,Price Discount,2024-07-31,2024-08-19,20,38.04,False,False,In-store,North,1804,83268.45
PR0000084,P00001,S00180,Buy One Get One,2024-09-21,2024-10-08,18,8.54,True,False,Digital,North,491,186604.78
PR0000085,P00001,S00180,Price Discount,2024-11-01,2024-11-18,18,13.25,False,False,Both,North,434,161818.7
PR0000086,P00001,S00180,Display,2024-12-21,2025-01-08,19,22.74,True,False,In-store,North,524,58791.34
PR0000087,P00001,S00180,Display,2025-02-02,2025-02-06,5,32.06,True,False,Both,North,266,56959.57
PR0000088,P00001,S00180,Display,2025-02-21,2025-03-04,12,20.52,True,False,Both,North,464,40734.56
PR0000089,P00001,S00180,Price Discount,2025-03-25,2025-04-06,13,5.99,False,False,In-store,North,427,51379.56
PR0000090,P00001,S00180,Coupon,2025-05-15,2025-05-20,6,33.83,False,False,Both,North,195,160156.62
PR0000091,P00001,S00180,Display,2025-06-30,2025-07-12,13,37.96,True,False,In-store,North,968,156843.24
PR0000092,P00001,S00180,Buy One Get One,2025-10-23,2025-10-30,8,5.74,True,False,Both,North,134,148094.99
PR0000093,P00001,S00180,Price Discount,2025-11-17,2025-11-27,11,33.38,False,False,In-store,North,322,208675.62
PR0000094,P00001,S00180,Coupon,2025-11-29,2025-12-03,5,37.17,False,False,Both,North,238,159667.75
PR0000095,P00001,S00046,Price Discount,2023-02-21,2023-03-08,16,28.17,False,False,In-store,North,1765,206097.99
PR0000096,P00001,S00046,Price Discount,2023-05-25,2023-06-14,21,5.62,False,False,Both,North,1614,22142.97
PR0000097,P00001,S00046,Price Discount,2023-07-13,2023-08-01,20,21.47,False,False,In-store,North,1471,217667.22
PR0000098,P00001,S00046,Buy One Get One,2023-09-17,2023-10-02,16,26.89,True,False,In-store,North,1199,37843.81
PR0000099,P00001,S00046,Coupon,2023-10-03,2023-10-21,19,30.89,False,False,Both,North,1108,154290.68
PR0000100,P00001,S00046,Loyalty Offer,2024-02-21,2024-03-07,16,6.91,False,False,Both,North,799,162434.13
PR0000101,P00001,S00046,Price Discount,2024-07-28,2024-08-17,21,18.39,False,False,Digital,North,1639,118524.78
PR0000102,P00001,S00046,Price Discount,2024-09-16,2024-10-03,18,20.46,False,False,Both,North,1139,166106.95
PR0000103,P00001,S00046,Price Discount,2024-10-19,2024-11-04,17,37.51,False,False,In-store,North,1865,128694.46
PR0000104,P00001,S00046,Display,2025-05-26,2025-05-31,6,16.11,True,False,In-store,North,612,64846.72
PR0000105,P00001,S00046,Price Discount,2025-07-18,2025-07-29,12,29.2,False,False,In-store,North,1142,49414.16
PR0000106,P00001,S00046,Bundle,2025-08-18,2025-08-28,11,10.01,False,True,In-store,North,879,21277.68
PR0000107,P00001,S00030,Buy One Get One,2023-02-27,2023-03-16,18,9.47,True,False,In-store,North,2133,112805.29
PR0000108,P00001,S00030,Coupon,2023-05-24,2023-06-02,10,14.44,False,False,In-store,North,1547,40289.43
PR0000109,P00001,S00030,Bundle,2023-07-06,2023-07-15,10,17.32,False,True,Both,North,1810,168855.08
PR0000110,P00001,S00030,Price Discount,2023-10-13,2023-10-17,5,17.47,False,False,Both,North,485,68462.85
PR0000111,P00001,S00030,Price Discount,2023-11-04,2023-11-16,13,31.34,False,False,Digital,North,2203,51856.5
PR0000112,P00001,S00030,Bundle,2024-06-21,2024-07-11,21,10.02,True,True,Digital,North,3902,195431.26
PR0000113,P00001,S00030,Display,2024-09-30,2024-10-16,17,33.89,True,False,Digital,North,2323,89023.9
PR0000114,P00001,S00030,Loyalty Offer,2025-06-26,2025-07-09,14,26.85,False,False,Both,North,1859,104697.6
PR0000115,P00001,S00030,Bundle,2025-07-23,2025-08-09,18,28.76,False,True,Digital,North,5553,75933.79
PR0000116,P00001,S00030,Price Discount,2025-10-16,2025-10-21,6,37.58,False,False,In-store,North,607,195620.37
PR0000117,P00002,S00053,Price Discount,2023-01-25,2023-02-05,12,21.27,False,False,In-store,South,0,210463.86
PR0000118,P00002,S00053,Buy One Get One,2023-03-17,2023-03-24,8,35.97,False,False,Digital,South,0,182177.65
PR0000119,P00002,S00053,Buy One Get One,2023-04-13,2023-04-17,5,27.99,False,False,In-store,South,0,40189.36
PR0000120,P00002,S00053,Display,2023-06-25,2023-07-02,8,21.67,True,False,Digital,South,0,57937.03
PR0000121,P00002,S00053,Display,2023-07-09,2023-07-15,7,33.54,True,False,In-store,South,0,86744.23
PR0000122,P00002,S00053,Coupon,2023-08-18,2023-09-06,20,14.16,False,False,In-store,South,0,60216.75
PR0000123,P00002,S00053,Loyalty Offer,2023-11-23,2023-12-10,18,26.18,False,False,In-store,South,0,33175.67
PR0000124,P00002,S00053,Display,2024-01-17,2024-01-31,15,38.87,True,False,In-store,South,0,146873.65
PR0000125,P00002,S00053,Loyalty Offer,2024-02-09,2024-02-28,20,26.1,False,False,Digital,South,0,49216.44
PR0000126,P00002,S00053,Buy One Get One,2024-03-26,2024-03-30,5,22.33,False,False,Both,South,0,47405.64
PR0000127,P00002,S00053,Price Discount,2024-05-26,2024-05-31,6,21.07,False,False,In-store,South,0,80406.54
PR0000128,P00002,S00053,Price Discount,2024-06-03,2024-06-13,11,22.89,False,False,Digital,South,0,143770.65
PR0000129,P00002,S00053,Price Discount,2024-07-01,2024-07-10,10,11.94,False,False,In-store,South,0,22988.18
PR0000130,P00002,S00053,Display,2024-08-21,2024-08-31,11,12.51,True,False,Digital,South,0,104242.14
PR0000131,P00002,S00053,Bundle,2024-12-01,2024-12-18,18,10.65,False,True,In-store,South,1,199392.0
PR0000132,P00002,S00053,Display,2025-01-23,2025-01-28,6,32.61,True,False,In-store,South,235,177886.8
PR0000133,P00002,S00053,Buy One Get One,2025-02-17,2025-03-08,20,6.88,False,False,In-store,South,381,168702.19
PR0000134,P00002,S00053,Bundle,2025-05-02,2025-05-22,21,18.13,False,True,Both,South,719,74769.55
PR0000135,P00002,S00053,Display,2025-06-08,2025-06-22,15,18.3,True,False,In-store,South,467,46533.55
PR0000136,P00002,S00053,Bundle,2025-08-15,2025-09-02,19,28.77,False,True,Both,South,1302,178083.68
PR0000137,P00002,S00053,Bundle,2025-09-20,2025-10-05,16,21.82,False,True,In-store,South,738,192475.23
PR0000138,P00002,S00177,Display,2023-03-25,2023-04-10,17,14.22,True,False,In-store,North,0,201808.63
PR0000139,P00002,S00177,Bundle,2023-11-21,2023-11-30,10,27.11,False,True,Both,North,0,84530.97
PR0000140,P00002,S00177,Coupon,2024-02-15,2024-02-22,8,26.54,True,False,In-store,North,0,70582.82
PR0000141,P00002,S00177,Coupon,2024-07-07,2024-07-14,8,15.59,False,False,In-store,North,0,218226.58
PR0000142,P00002,S00177,Display,2024-08-21,2024-08-25,5,31.34,True,False,Both,North,0,115632.26
PR0000143,P00002,S00177,Bundle,2024-11-28,2024-12-18,21,6.54,False,True,In-store,North,0,215612.72
PR0000144,P00002,S00177,Loyalty Offer,2025-02-16,2025-02-24,9,25.23,False,False,In-store,North,134,109375.99
PR0000145,P00002,S00177,Coupon,2025-03-06,2025-03-23,18,37.68,False,False,Digital,North,545,21782.87
PR0000146,P00002,S00177,Price Discount,2025-04-01,2025-04-19,19,8.31,False,False,In-store,North,189,77264.19
PR0000147,P00002,S00177,Loyalty Offer,2025-04-25,2025-05-15,21,38.07,False,False,Digital,North,627,21764.87
PR0000148,P00002,S00177,Buy One Get One,2025-06-02,2025-06-15,14,38.33,True,False,In-store,North,586,31872.87
PR0000149,P00002,S00177,Buy One Get One,2025-06-23,2025-06-27,5,39.25,False,False,Digital,North,133,83740.47
PR0000150,P00002,S00177,Price Discount,2025-07-11,2025-07-21,11,35.13,False,False,In-store,North,308,52579.32
PR0000151,P00002,S00117,Coupon,2023-09-03,2023-09-17,15,23.24,False,False,In-store,East,0,141593.55
PR0000152,P00002,S00117,Price Discount,2023-10-28,2023-11-03,7,25.88,False,False,Both,East,0,136474.79
PR0000153,P00002,S00117,Price Discount,2024-04-25,2024-05-14,20,27.51,False,False,Both,East,0,20473.2
PR0000154,P00002,S00117,Coupon,2024-08-31,2024-09-15,16,17.56,False,False,Digital,East,0,53383.71
PR0000155,P00002,S00117,Bundle,2024-10-13,2024-10-18,6,34.92,False,True,Digital,East,0,67336.33
PR0000156,P00002,S00117,Display,2024-11-25,2024-12-08,14,29.29,True,False,In-store,East,0,125871.84
PR0000157,P00002,S00117,Coupon,2025-03-29,2025-04-06,9,32.33,False,False,Digital,East,725,208040.05
PR0000158,P00002,S00117,Buy One Get One,2025-08-02,2025-08-12,11,37.74,False,False,Digital,East,1678,207499.02
PR0000159,P00002,S00117,Loyalty Offer,2025-09-16,2025-10-02,17,22.4,False,False,Both,East,1230,174908.81
PR0000160,P00002,S00117,Coupon,2025-12-22,2025-12-31,10,38.02,False,False,Both,East,833,77220.4
PR0000161,P00002,S00027,Display,2023-01-10,2023-01-17,8,34.57,True,False,In-store,South,0,81984.49
PR0000162,P00002,S00027,Price Discount,2023-02-21,2023-03-10,18,26.87,False,False,In-store,South,0,133454.18
PR0000163,P00002,S00027,Coupon,2023-08-11,2023-08-19,9,32.14,False,False,Both,South,0,26882.89
PR0000164,P00002,S00027,Price Discount,2023-10-26,2023-11-07,13,35.95,False,False,Digital,South,0,205472.73
PR0000165,P00002,S00027,Price Discount,2023-12-15,2024-01-01,18,35.48,False,False,Digital,South,0,201777.55
PR0000166,P00002,S00027,Display,2024-06-01,2024-06-21,21,31.56,True,False,In-store,South,0,113449.23
PR0000167,P00002,S00027,Coupon,2024-08-08,2024-08-13,6,27.68,False,False,In-store,South,0,16045.8
PR0000168,P00002,S00027,Bundle,2024-09-07,2024-09-27,21,39.34,False,True,Both,South,0,193855.78
PR0000169,P00002,S00027,Loyalty Offer,2024-12-17,2024-12-27,11,23.44,False,False,In-store,South,92,205982.18
PR0000170,P00002,S00027,Price Discount,2025-02-13,2025-02-27,15,34.41,False,False,Both,South,1805,114060.45
PR0000171,P00002,S00027,Coupon,2025-05-06,2025-05-23,18,39.11,False,False,In-store,South,2148,90300.25
PR0000172,P00002,S00027,Display,2025-05-25,2025-06-14,21,19.9,True,False,Both,South,1600,124706.64
PR0000173,P00002,S00027,Price Discount,2025-09-25,2025-10-15,21,7.89,False,False,Both,South,596,146261.57
PR0000174,P00002,S00027,Buy One Get One,2025-11-15,2025-11-29,15,14.44,True,False,In-store,South,514,153471.63
PR0000175,P00002,S00119,Coupon,2023-03-12,2023-04-01,21,34.76,False,False,Both,East,0,166844.3
PR0000176,P00002,S00119,Coupon,2023-05-01,2023-05-11,11,9.27,False,False,In-store,East,0,26381.19
PR0000177,P00002,S00119,Price Discount,2023-06-08,2023-06-23,16,36.91,False,False,Both,East,0,67111.32
PR0000178,P00002,S00119,Bundle,2023-07-08,2023-07-26,19,30.73,True,True,In-store,East,0,144437.1
PR0000179,P00002,S00119,Coupon,2023-09-09,2023-09-27,19,18.17,False,False,Both,East,0,211151.55
PR0000180,P00002,S00119,Display,2023-11-15,2023-12-04,20,14.77,True,False,Digital,East,0,130046.64
PR0000181,P00002,S00119,Buy One Get One,2024-06-09,2024-06-17,9,22.86,False,False,In-store,East,0,25739.57
PR0000182,P00002,S00119,Coupon,2024-07-09,2024-07-26,18,14.88,False,False,Digital,East,0,148828.19
PR0000183,P00002,S00119,Price Discount,2024-09-13,2024-10-02,20,7.84,False,False,In-store,East,0,214462.75
PR0000184,P00002,S00119,Buy One Get One,2025-01-31,2025-02-12,13,33.21,True,False,In-store,East,837,117582.97
PR0000185,P00002,S00119,Coupon,2025-02-19,2025-03-01,11,10.91,False,False,In-store,East,489,179646.2
PR0000186,P00002,S00119,Loyalty Offer,2025-03-09,2025-03-19,11,36.28,False,False,In-store,East,1242,118446.7
PR0000187,P00002,S00119,Display,2025-04-16,2025-04-27,12,18.56,True,False,Both,East,510,71629.84
PR0000188,P00002,S00119,Buy One Get One,2025-05-23,2025-06-05,14,36.39,False,False,In-store,East,1243,67766.04
PR0000189,P00002,S00119,Coupon,2025-06-17,2025-07-07,21,39.17,False,False,Both,East,1690,153931.87
PR0000190,P00002,S00119,Bundle,2025-07-11,2025-07-23,13,5.5,False,True,Digital,East,483,194623.9
PR0000191,P00002,S00119,Price Discount,2025-09-02,2025-09-13,12,21.22,False,False,Digital,East,570,162049.1
PR0000192,P00002,S00119,Price Discount,2025-11-27,2025-12-15,19,12.7,False,False,Both,East,472,213083.95
PR0000193,P00002,S00124,Buy One Get One,2023-01-07,2023-01-19,13,11.03,True,False,Digital,East,0,158698.54
PR0000194,P00002,S00124,Price Discount,2023-03-03,2023-03-22,20,37.75,False,False,In-store,East,0,132755.29
PR0000195,P00002,S00124,Coupon,2023-05-21,2023-06-10,21,23.68,False,False,Digital,East,0,127573.83
PR0000196,P00002,S00124,Price Discount,2024-03-04,2024-03-19,16,25.08,False,False,Both,East,0,174051.53
PR0000197,P00002,S00124,Buy One Get One,2024-04-30,2024-05-11,12,24.32,False,False,In-store,East,0,158813.54
PR0000198,P00002,S00124,Bundle,2024-07-13,2024-07-18,6,16.91,False,True,In-store,East,0,198782.31
PR0000199,P00002,S00124,Price Discount,2024-12-06,2024-12-25,20,31.49,False,False,In-store,East,88,72402.78
PR0000200,P00002,S00124,Coupon,2025-02-25,2025-03-10,14,26.21,False,False,In-store,East,562,39522.93
PR0000201,P00002,S00124,Price Discount,2025-04-25,2025-05-06,12,32.79,False,False,In-store,East,1081,75503.12
PR0000202,P00002,S00124,Price Discount,2025-07-12,2025-08-01,21,28.77,False,False,In-store,East,1968,36942.76
PR0000203,P00002,S00124,Display,2025-08-06,2025-08-13,8,25.92,True,False,In-store,East,843,106308.94
PR0000204,P00002,S00124,Price Discount,2025-09-22,2025-10-03,12,22.72,False,False,In-store,East,848,107001.23
PR0000205,P00002,S00124,Buy One Get One,2025-10-05,2025-10-11,7,11.74,True,False,In-store,East,254,209134.68
PR0000206,P00002,S00038,Buy One Get One,2023-01-08,2023-01-12,5,26.68,False,False,In-store,East,0,147190.21
PR0000207,P00002,S00038,Display,2023-01-15,2023-01-24,10,30.78,True,False,Both,East,0,181473.53
PR0000208,P00002,S00038,Price Discount,2023-01-31,2023-02-09,10,25.68,False,False,In-store,East,0,31822.35
PR0000209,P00002,S00038,Price Discount,2023-08-01,2023-08-14,14,5.59,False,False,Both,East,0,44143.27
PR0000210,P00002,S00038,Price Discount,2023-09-27,2023-10-11,15,39.29,True,False,Digital,East,0,131933.39
PR0000211,P00002,S00038,Price Discount,2023-12-14,2024-01-02,20,30.9,False,False,Both,East,0,87584.05
PR0000212,P00002,S00038,Price Discount,2024-04-20,2024-04-26,7,24.34,False,False,In-store,East,0,129130.29
PR0000213,P00002,S00038,Buy One Get One,2024-05-22,2024-06-05,15,37.84,True,False,In-store,East,0,36605.19
PR0000214,P00002,S00038,Bundle,2024-07-08,2024-07-19,12,29.87,True,True,Digital,East,0,70484.47
PR0000215,P00002,S00038,Price Discount,2024-08-18,2024-09-01,15,38.63,False,False,Both,East,0,38306.46
PR0000216,P00002,S00038,Bundle,2024-09-30,2024-10-10,11,13.62,False,True,In-store,East,0,151709.38
PR0000217,P00002,S00038,Price Discount,2024-12-02,2024-12-12,11,18.25,True,False,In-store,East,0,21116.55
PR0000218,P00002,S00038,Price Discount,2024-12-14,2025-01-03,21,12.99,False,False,Digital,East,126,195457.83
PR0000219,P00002,S00038,Price Discount,2025-02-26,2025-03-14,17,35.86,False,False,Both,East,1153,79295.16
PR0000220,P00002,S00038,Bundle,2025-03-16,2025-04-01,17,10.59,False,True,Both,East,636,74254.28
PR0000221,P00002,S00038,Display,2025-05-23,2025-05-30,8,25.65,True,False,Both,East,525,188823.44
PR0000222,P00002,S00038,Buy One Get One,2025-06-28,2025-07-15,18,16.64,True,False,Digital,East,855,98397.79
PR0000223,P00002,S00038,Loyalty Offer,2025-08-01,2025-08-07,7,13.23,False,False,Digital,East,360,153137.97
PR0000224,P00002,S00038,Price Discount,2025-08-23,2025-09-12,21,22.36,False,False,In-store,East,1054,168477.78
PR0000225,P00002,S00038,Display,2025-12-20,2025-12-31,12,20.1,True,False,Digital,East,360,215756.37
PR0000226,P00002,S00139,Bundle,2023-01-12,2023-01-17,6,33.18,False,True,Both,West,0,109364.21
PR0000227,P00002,S00139,Display,2023-02-02,2023-02-15,14,32.93,True,False,Digital,West,0,29913.22
PR0000228,P00002,S00139,Coupon,2023-06-03,2023-06-13,11,6.89,True,False,In-store,West,0,36716.8
PR0000229,P00002,S00139,Price Discount,2023-06-16,2023-06-28,13,7.61,False,False,In-store,West,0,68311.94
PR0000230,P00002,S00139,Price Discount,2023-08-31,2023-09-06,7,36.19,False,False,In-store,West,0,47170.09
PR0000231,P00002,S00139,Buy One Get One,2023-11-18,2023-12-08,21,37.97,False,False,In-store,West,0,53532.78
PR0000232,P00002,S00139,Display,2023-12-16,2023-12-31,16,37.84,True,False,Digital,West,0,142856.09
PR0000233,P00002,S00139,Display,2024-01-06,2024-01-22,17,18.95,True,False,Both,West,0,73099.73
PR0000234,P00002,S00139,Coupon,2024-04-07,2024-04-27,21,28.3,False,False,Digital,West,0,190273.81
PR0000235,P00002,S00139,Price Discount,2024-05-28,2024-06-10,14,37.9,False,False,In-store,West,0,56605.61
PR0000236,P00002,S00139,Display,2024-06-12,2024-07-01,20,33.91,True,False,Both,West,0,115693.26
PR0000237,P00002,S00139,Price Discount,2024-08-03,2024-08-14,12,34.37,False,False,In-store,West,0,198861.13
PR0000238,P00002,S00139,Price Discount,2024-08-18,2024-08-28,11,38.54,False,False,Digital,West,0,134116.21
PR0000239,P00002,S00139,Price Discount,2024-09-07,2024-09-16,10,25.73,False,False,In-store,West,0,213539.35
PR0000240,P00002,S00139,Price Discount,2025-03-17,2025-04-04,19,16.52,False,False,Both,West,2255,72521.91
PR0000241,P00002,S00139,Buy One Get One,2025-05-23,2025-06-08,17,33.35,False,False,Digital,West,4623,157468.06
PR0000242,P00002,S00139,Buy One Get One,2025-11-21,2025-12-07,17,6.85,True,False,In-store,West,714,171752.85
PR0000243,P00002,S00169,Buy One Get One,2023-02-07,2023-02-16,10,27.09,False,False,Digital,South,0,42348.9
PR0000244,P00002,S00169,Buy One Get One,2023-05-25,2023-06-02,9,16.95,True,False,Both,South,0,180936.17
